,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/PABAT_Academy/status/1701670088192188637#m,#Amber might manifest #buying #pressure near 2850.00 & 2800.90  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Sep 12, 2023 · 6:52 PM UTC",1,0
1,https://twitter.com/harjashann/status/1701668579093938453#m,OIL GIANT BP’S CEO WAS JUST MYSTERIOUSLY FIRED   EXPECT A BIG SCANDAL SOON   $BP #jiobp #reliance #RelianceRetail #StockMarketindia,"Sep 12, 2023 · 6:46 PM UTC",1,0
2,https://twitter.com/sharmajuniorji/status/1701655747703234654#m,"True that, the worst insurance a one can have is #reliance insurance","Sep 12, 2023 · 5:55 PM UTC",0,0
3,https://twitter.com/OpenAIMaster/status/1701645464779776318#m,#tata #reliance #jio #llm #nvidia #AImodel https://openaimaster.com/indias-tata-and-reliance-will-build-an-llm-model-with-nvidia/,"Sep 12, 2023 · 5:14 PM UTC",0,0
4,https://twitter.com/everydaybytes/status/1701638553225289964#m,#stockbytes #Reliance update on institutional investor meeting. #StocksInNews #StockMarket,"Sep 12, 2023 · 4:47 PM UTC",0,0
5,https://twitter.com/M32631221/status/1701634468971462700#m,This is the speed I am getting from my Jio wifi! This is with 100mbps INR699 monthly plan. Is this the speed I should be getting? After paying the full amount every month? I think its better to go back to Airtel Xtream #pathetic #cheaters #Jio #jiomumbai #jioandheri #Reliance,"Sep 12, 2023 · 4:30 PM UTC",0,0
6,https://twitter.com/TradingMarvel/status/1701633969895399734#m,#reliance #Kpigreen #TataMotors #hindcopper Very good return possible in 1 year -2✖️possible ✅,"Sep 12, 2023 · 4:28 PM UTC",3,0
7,https://twitter.com/AGreenInvestor/status/1701633765653827820#m,"As #StockMarketindia makes  new all time highs, storied  large #conglomerates like #tata #jsw #reliance are coming out with #ipos to raise call at high valuations  https://www.moneycontrol.com/news/business/markets/jsw-infra-to-launch-rs-2800-crore-ipo-by-september-end-sources-11349021.html","Sep 12, 2023 · 4:27 PM UTC",0,0
8,https://twitter.com/itradebrains/status/1701631814119325925#m,FII Cash & Derivative Statistics Dated 12/09/2023  #nifty #nifty50 #niftyoptions #Niftyfutures #niftyfinance #NIFTYIT #banknifty #NiftyBank #nifty500 #OptionsTrading #optiontrading #optionkipathshala #OptionChain #optionbuying #zerodha #hdfcbank #Reliance #ICICIBank #ICICI #sbin,"Sep 12, 2023 · 4:20 PM UTC",0,0
9,https://twitter.com/SpeakingHemant/status/1701629090304823401#m,#NarendraModi #India #G20 #G20India #G20Bharat #Manipur #NDTV #Adani #AdaniEnt #Ambani #Reliance #Jio #JioCinema #Bharat #SaudiArabia #Delhi #Lucknow #Sanatan #BiggBoss #IndiaGotTalent #SaReGaMaPa #SonyTV #ColorsTv @AajTak #ZeeTV,"Sep 12, 2023 · 4:09 PM UTC",0,0
10,https://twitter.com/CallsOption/status/1701627250792345695#m,#RELIANCE   Reliance trading in between 2400 to 2475.   Trade is buy near 2400 with 20 RS Stoploss and wait for upmove till 2475/2520.  #frontpage_app,"Sep 12, 2023 · 4:02 PM UTC",0,1
11,https://twitter.com/yeskannur/status/1701626937251353044#m,Check out my #RELIANCE analysis on @TradingView: https://www.tradingview.com/chart/RELIANCE/JjwmYJJq-RIL-S-R-for-13-9-23/,"Sep 12, 2023 · 4:00 PM UTC",0,0
12,https://twitter.com/deepika63379858/status/1701625111743447243#m,"#Reliance Industries    KKR will invest Rs 2,069.5 crore in the company's subsidiary, Reliance Retail Ventures, increasing its stake to 1.42% from 1.17%. The deal values the retail giant at Rs 8.36 lakh crore","Sep 12, 2023 · 3:53 PM UTC",3,0
13,https://twitter.com/LeaderYuva/status/1701624846298615963#m,Action:- Today is a very high and sharp move in Stocks.  Learning this is a new buying opportunity for new bull run.  (No Buying and Selling Advise)  #nifty50 #Nifty #banknifty #sensex #Reliance #HDFC,"Sep 12, 2023 · 3:52 PM UTC",1,0
14,https://twitter.com/IamMahendra2020/status/1701622672160153962#m,"Post Market updates (small thread): 12.09.2023  #PostMarketReport #PostMarketAnalysis #ShareMarketIndia  All major indices were highly volatile in today’s session.  Day’s Range: (Highest Points Contributors)  #Nifty: 195.7 (#TCS: 21.6, #Reliance: -29)","Sep 12, 2023 · 3:43 PM UTC",0,1
15,https://twitter.com/PABAT_Academy/status/1701622560809730155#m,#Pbcl might manifest #buying #pressure near 345.85  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Sep 12, 2023 · 3:43 PM UTC",1,0
