,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/kolatewe/status/1728987359935361178#m,🔴 LIVE PODCAST: PUT YOUR TRUST IN GOD! on @Spreaker #ability #assured #lord #never #reliance #shame #someone #strength #trust https://www.spreaker.com/user/16997557/put-your-trust-in-god_1,"Nov 27, 2023 · 4:01 AM UTC",0,0
1,https://twitter.com/zee24taasnews/status/1728965770384937466#m,"मुकेश अंबानींच्या Reliance च्या गुंतवणूकदारांवर पैशांचा पाऊस, 5 दिवसात 26000 कोटींची कमाई, पण कसं? #mukeshambani #Reliance #marketcap https://zeenews.india.com/marathi/mumbai/rain-of-money-on-investors-of-mukesh-ambanis-reliance-earning-26000-crores-in-5-days-market-cap-of-top-10-firms/763466","Nov 27, 2023 · 2:35 AM UTC",7,0
2,https://twitter.com/honky_tonk/status/1728965616336281824#m,Cosmos leads me. This is the road of mine.  宇宙は私を導く。 これは私の道。  RP @valijar Ph:Mika Suutari #entrust #reliance #Cosmos #love #Wisdom,"Nov 27, 2023 · 2:35 AM UTC",2,0
