,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/ResearchVivek/status/1704238115580477697#m,#Reliance and #Bharti has started Fibre War now @JagranBizNews @Geetu_Moza @reliancegroup @airtelindia,"Sep 19, 2023 · 8:56 PM UTC",3,0
1,https://twitter.com/VikasSo75032776/status/1704198176121704452#m,#RELIANCE IND: CO SUBSIDIARY JIO ANNOUNCES LAUNCH OF JIO AIRFIBER,"Sep 19, 2023 · 6:18 PM UTC",0,0
2,https://twitter.com/NewNews10047115/status/1704190653335490944#m,"નીતા અને મુકેશ અંબાણીએ એન્ટિલિયામાં ધામધુમથી ગણેશ ચતુર્થીની ઉજવણી કરી.  અંબાણી પરિવારે આજે ગણેશ સ્થાપન કર્યું તે પ્રસંગે વેવાઈ પક્ષના સંબધીઓ, ફિલ્મ સ્ટાર, રાજકીય આગેવાનો, ક્રિકેટરો, ઉધ્યોગ જગતના આગેવાનો ઉપસ્થિત રહ્યા હતા.  #MukeshAmbani #Reliance #GaneshChaturthi","Sep 19, 2023 · 5:48 PM UTC",4,1
3,https://twitter.com/hyderabadprop/status/1704186776544497894#m,"#Reliance Jio launches #JioAirFiber with plans starting at Rs 599. JioAirFiber is India's latest home entertainment and Wi-Fi service.  Jio Announces Launch of JioAirFiber  #JioAirFiber goes live in 8 cities in India, Ahmedabad, Bengaluru, Chennai, Delhi, Hyderabad, Kolkata, Mumbai and Pune on the auspicious occasion of Ganesh Chaturthi   This Jio AirFiber Max plan comes with a validity of 30 days and is priced at Rs 1,499. Subscribers will get 300 Mbps speed and access to 550+ TV channels along with 14 OTT apps like Disney+ Hotstar, JioCinema, Sony Liv, and more. Under this plan, buyers will get 500 Mbps speed with a validity of 30 days  Now available.  jio.com/airfiber","Sep 19, 2023 · 5:32 PM UTC",42,4
4,https://twitter.com/myKhelTelugu/status/1704186089064571163#m,భారత టెలి కమ్యూనికేషన్ రంగంలో రిలయన్స్ సంస్థకు చెందిన జియో ఎంత సంచలనం సృష్టించిందో ప్రత్యేకంగా చెప్పనక్కర్లేదు..! #StarSports #StarSportsLive #DisneyHotstar #Reliance #JioReliance #JioCinema #MyKhelTelugu More Details: https://telugu.mykhel.com/cricket/disney-holds-talks-with-reliance-over-sale-of-india-business-hotstar-and-star-sports-051529.html,"Sep 19, 2023 · 5:30 PM UTC",0,0
5,https://twitter.com/GossipsTv/status/1704177590116720998#m,"#SuperExclusive #MukeshAmbani’s #Reliance in race to buy Disney Star India!!  Mukesh Ambani’s Reliance stands to gain as Disney+ Hotstar mulls potential big move. Walt Disney is holding initial talks with potential buyers for its India streaming and television business including Mukesh Ambani's Reliance Industries, as per people associated with the matter. The US-based entertainment giant is discussing options with various buyers - from a deal for the complete Disney Star business to a piecemeal trade including a mix of its assets including sports rights and regional streaming service Disney+ Hotstar.","Sep 19, 2023 · 4:56 PM UTC",58,4
6,https://twitter.com/Anirbban/status/1704175245060624821#m,"#Reliance will taste your patience & at end you will be rewarded.  Those who lack patience, learn covered call to reduce cost of accusation.   If you don’t want to learn option trading & keep blaming #StockMarket for not rewarding you, it’s you who are responsible.  Learn.  #AAA","Sep 19, 2023 · 4:46 PM UTC",9,2
7,https://twitter.com/amalprasadappu/status/1704171311063519468#m,"Disney is in talks with #Reliance to sell its India streaming and TV business, which includes Disney+ #Hotstar and Star India channels. What does this mean for the Indian media and entertainment industry? Find out here: #DisneyStarIndia #MediaNews https://thecinemanews.online/disney-star-india-sale-reliance-in-talks-to-buy-streaming-and-tv-business/","Sep 19, 2023 · 4:31 PM UTC",0,1
8,https://twitter.com/NewSiccc/status/1704169629114073103#m,Reliance Jio                                   #Reliance #Hotstar #MukeshAmbani,"Sep 19, 2023 · 4:24 PM UTC",1,0
9,https://twitter.com/RolexbhaisirSir/status/1704166292289409344#m,"According to recent reports from The Economic Times, The Walt #Disney Company is currently in discussions to sell Star India TV channels and Disney+ #Hotstar to Mukesh Ambani's #Reliance Industries.😱 #Starsports #INDvsAUS #AUSvsIND #AbhIya #ElvishYadav𓃵 #JioAirFiber #jio","Sep 19, 2023 · 4:11 PM UTC",1,0
