,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/dongodsmanna/status/1715788765757931729#m,#Reliance  We were bearish on Reliance since 19th August. wave C seems to be an ending diagonal with C. Aligned with #Nifty and #DowJones @CM_Khampti #Banknifty #recession #Blackmonday #stockmarketcrash #StockMarketindia,"Oct 21, 2023 · 5:54 PM UTC",10,2
1,https://twitter.com/A2KENTERPRISES/status/1715757392888291800#m,Tweet of the day.....❤️ se  #icicibank #kotakbank #idbibank #hdfcbank if performed next 3 days with #Reliance ---- Shorts will have tough time... Rethink over the weekend rather dancing in #Garba as bears are not planned to pay any MTM next week.😌  Better ignore #garba noise and think how to manage MTM and margin next week.  Long anyways they have already planned how to manage the margin when they took longs on Friday....😉 So they have all rights to dance #garbanight this #navratri.....💞  #HappyNavratri2023,"Oct 21, 2023 · 3:50 PM UTC",11,3
2,https://twitter.com/Current20273102/status/1715738277020639730#m,The Mid 2000s Years Which Company SIM you Owned At that Time??? #idea #Airtel #BSNL #AIRCEL #tataindicom #uninor #docomo #reliance,"Oct 21, 2023 · 2:34 PM UTC",1,0
3,https://twitter.com/FinancialXpress/status/1715722101443924276#m,"Meet #HitalMeswani, the lesser-known nephew of #MukeshAmbani and the highest-paid employee of #Reliance; His #salary is…","Oct 21, 2023 · 1:30 PM UTC",1,1
4,https://twitter.com/pareshChaya/status/1715716687079874960#m,દેવભૂમિ દ્વારકાના જગત મંદિરમાં દર્શન કરવા પંહોચ્યા રિલાયન્સના અનંત અંબાણી. પૂજા અર્ચના બાદ સાંધ્ય આરતીમાં હાજર રહેશે. #Reliance,"Oct 21, 2023 · 1:08 PM UTC",10,0
5,https://twitter.com/RelianceDigital/status/1715708260437631053#m,"This one is made for the ones who are #OpenForEverything; are you ready? Available exclusively at Reliance Digital stores, pre-book today.​  #exclusive #RelianceDigital #Reliance #OpenForEverything #OnePlusOpen #OpenTheFuture #OpenTheFutureWithRelianceDigital","Oct 21, 2023 · 12:35 PM UTC",9,5
6,https://twitter.com/RyanPal15/status/1715704150208774426#m,Jio has been upgrading plans and increasing tariffs time to time. Similarly jio has been failing to provide quality service. The area of greater noida lacks effective network connectivity and it fluctuates to a range of mediocre to zero network #jio #Reliance #reliancejio,"Oct 21, 2023 · 12:18 PM UTC",0,0
7,https://twitter.com/Elanstweet/status/1715701621337035033#m,"Day 15 after I paid for my Jio fiber connection, still no action #jio #jiofiber #Jiodown #reliance","Oct 21, 2023 · 12:08 PM UTC",0,1
8,https://twitter.com/KhanijKumar2/status/1715694781089906822#m,"I am ordered snickers 100% cashback pack but I have received normal pack I am already raised a query but no response from @JioMart Now I want to return this but no response from jiomart, the support team is very pathetic @Snickers_IN #jiomart #Trending #Reliance #Scam #Fraud","Oct 21, 2023 · 11:41 AM UTC",0,0
9,https://twitter.com/Rajurgodhani/status/1715683113878389079#m,"2nd #SpamCall from @HDFC_Bank @HDFCCreditCard , Thank you @JioCare @AshwiniVaishnaw @TRAI #Jio #Reliance #AUSvsPAK #deprem","Oct 21, 2023 · 10:55 AM UTC",0,1
10,https://twitter.com/mataonline/status/1715680396044841217#m,"रिलायन्सच्या ‘या’ स्वस्त स्टॉक्सची बातच न्यारी, किंमत 50 रुपयांपेक्षाही कमी, सोडू नका अशी संधी!  #MukeshAmbani #Reliance #RelianceIndustries #StockMarket #sharemarketindia https://maharashtratimes.com/business/share-bazaar/stock-market-updates-these-mukesh-ambani-owned-reliance-industries-shares-price-is-less-than-rs-50/articleshow/104606920.cms","Oct 21, 2023 · 10:44 AM UTC",6,0
11,https://twitter.com/lsyadav/status/1715650581317276159#m,"Jio Financial Share Price | जियो फाइनेंशियल सर्विसेज को हो रहा है भारी मुनाफा, शेयर खरीदने की लूट #Reliance #JioCinema https://www.financialbaba.com/2023/10/jio-financial-share-price.html","Oct 21, 2023 · 8:45 AM UTC",0,0
12,https://twitter.com/News69info/status/1715639238379663431#m,Reliance Retail Ventures Deal With UK Superdry Is Another Joint Venture By Mukesh Ambani  #Ambani #deal #Joint #Mukesh #reliance #retail #Superdry #Venture #VENTURES https://news69.info/reliance-retail-ventures-deal-with-uk-superdry-is-another-joint-venture-by-mukesh-ambani/?feed_id=53108&_unique_id=6533852b5a0fb https://news69.info/reliance-retail-ventures-deal-with-uk-superdry-is-another-joint-venture-by-mukesh-ambani/?feed_id=53108&_unique_id=6533852b5a0fb,"Oct 21, 2023 · 8:00 AM UTC",0,0
13,https://twitter.com/NavjeevanExp/status/1715637015453261970#m,Cricket in Olympics nets USISPF award to Nita Ambani https://navjeevanexpress.com/cricket-in-olympics-nets-usispf-award-to-nita-ambani/ #CSRAward #NitaAmbani #USISPF #RelianceFoundation #Reliance #CricketAtOlympics #CricketTwitter,"Oct 21, 2023 · 7:51 AM UTC",0,0
14,https://twitter.com/keshwani_aryan/status/1715626297022648609#m,#Nifty & #NiftyBank weekly analysis & important levels to watch for the coming week.  #nifty50 #banknifty #GIFTNIFTY #StockMarketindia #stockmarkets #ICICIBank #KotakBank #Reliance #StockinFocus #HDFCBank #StocksToBuy #stockmarketcrash #StockToWatch #TCS,"Oct 21, 2023 · 7:09 AM UTC",4,0
15,https://twitter.com/AncientStock/status/1715618371876901072#m,Fast Track to Stocks: Nifty & BankNifty Insights in 80 Seconds - 23.10.2023   #NIFTY #BANKNIFTY #SENSEX #FINNIFTY #MIDCPNIFTY #ADANIENT #LUPIN #RELIANCE #SBIN #TECHM #TVSMOTOR #UPL https://inv.tux.pizza/g-txp100CoI  Just Connect With Us  https://ancientstock.carrd.co/ 👈🏻,"Oct 21, 2023 · 6:37 AM UTC",0,0
16,https://twitter.com/Rishabh_fx/status/1715615861266939967#m,"Excellent week!  Our trading service delivered impressive results, generating consistent profits for our clients. Stay tuned for more success!   TOTAL PROFIT: 707 PIPS  #profinserv #profit #forextrading #xauusd #gold #usdinr #reliance #stockmarketcrash","Oct 21, 2023 · 6:27 AM UTC",0,0
17,https://twitter.com/Yash_trader/status/1715615282310332904#m,"Weekly Profit UpWeekly Profit Update👇🏻 Impressive gains continue, maximizing returns for our valued clients.   TOTAL PROFIT: ₹ 59,367/-💰💰   #Profinserv #profit #marketupdate #banknifty #stockmarketcrash #Reliance #RVNL","Oct 21, 2023 · 6:25 AM UTC",0,0
