,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/BhavnaSen66043/status/1731094646644949063#m,"ध्यान दें ये रिलायंस कम्पनी में काम दिलवाने के बहाने कई लोगों से घूस मांगता है व काम पर रखवाता है ओर पैसे उधार भी लेता है उधार वापस मांगने पर मारने की धमकी देता है,इसका स्थानीय थाने में पकड़ होने से इसका कुछ नही बिगड़ता, इस पर कार्यवाही करें इसका नाम रामेश्वर पांडेय है #Reliance","Dec 2, 2023 · 11:35 PM UTC",0,1
1,https://twitter.com/DrSuunil/status/1731023661455573055#m,In 2012-13 :  #TCS was < Rs.600 #Reliance was < Rs. 500 #Infosys was < Rs.400 #HDFCBank  was < Rs.300 #ICICIBank was < Rs.200 #BajajFin was < Rs.100  You very well know where they stand now in just 10 odd years. Never doubt the power of compounding in quality stocks.,"Dec 2, 2023 · 6:52 PM UTC",0,0
2,https://twitter.com/avitherapy22/status/1731016541159018901#m,In 2012-13 :  #TCS was < Rs.600 #Reliance was < Rs. 500 #Infosys was < Rs.400 #HDFCBank  was < Rs.300 #ICICIBank was < Rs.200 #BajajFin was < Rs.100  You very well know where they stand now in just 10 odd years. Never doubt the power of compounding in quality stocks.,"Dec 2, 2023 · 6:24 PM UTC",0,0
3,https://twitter.com/PABAT_Academy/status/1730964703827071001#m,#Lupin hit a high of 1305.20 and was advised to be bought at 1195.00. 👍👍👍👍👍  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Dec 2, 2023 · 2:58 PM UTC",1,0
4,https://twitter.com/ronakgala07/status/1730951194934440066#m,"I doubt it for December, as major resistance is there near 2600/30 levels   The chart definitely looks solid 😄  #Reliance","Dec 2, 2023 · 2:04 PM UTC",2,0
5,https://twitter.com/Allabtinvesting/status/1730946655531209048#m,Sharing my journey with #RelianceIndustries! 📈✨ Excited to present a glimpse of my ledger & the profits it has brought along. Investing in this powerhouse of innovation & growth has been truly rewarding. 💪💼  MoM Xirr 7.7% to 8.9% #Investing #Finance #RIL #Reliance #DecUpdate,"Dec 2, 2023 · 1:46 PM UTC",1,0
6,https://twitter.com/AlgoBoffin/status/1730942943534489968#m,"Long-term investors get a 15% annual rate in #Reliance, but with Very high BP.","Dec 2, 2023 · 1:32 PM UTC",12,1
7,https://twitter.com/onezero_fIndia/status/1730925734464819419#m,"🚨🚨 #Blackrock , Inc. bought 2473442 equity shares in #Suzlon taking the total share holding to 5.01% from 4.99%  #Reliance 🧐🧐  #AnimalTheMovie #Melodi #NarendraModi #BreakoutStock","Dec 2, 2023 · 12:23 PM UTC",3,0
8,https://twitter.com/RUBARUBARAMULLA/status/1730908063274598784#m,University of Kashmir defeated G D C #Baramulla in a nail biting encounter and emerged as winners of Inter College #Football Tournament 2023 organised by Directorate of Physical Education and Sports University of #Kashmir in collaboration with #Reliance Foundation (Youth Sports).,"Dec 2, 2023 · 11:13 AM UTC",6,0
9,https://twitter.com/WestNautical/status/1730904748700610961#m,2 days to go until the Antigua Charter Yacht Show! 🏝️🛥️ Who will be there?  M/Y Heeus & M/Y Reliance will be at the show and available for viewings:  🛥️ https://bit.ly/Heeus 🛥️ https://lnkd.in/en_yT4nj #yachts #yachtcharter #heeus #reliance #yachting https://www.boatinternational.com/yachts/news/yachts-attending-antigua-charter-show,"Dec 2, 2023 · 11:00 AM UTC",0,0
10,https://twitter.com/KesariKishor/status/1730903365029130599#m,#Jio #RelianceJio #reliance  Your corrupt team cheated me. My order no NO0000UDHWI2 and cancellation no Sr00001Sr7rd yet not approved. Refund my amount of Rs. 5240 with interest. Your cheter emp  name Mr. Salman Mob no 7982143489  Allaudin 9625319634,"Dec 2, 2023 · 10:54 AM UTC",1,0
11,https://twitter.com/camangalarvind/status/1730895981787730428#m,"Now the things may clear with this #factsheet #Reliance #Reliance_industries #Nifty #niftyinfra #NTPC #ongc #niftyenergy #niftyPSEs #powergrid #Bpcl #coal #chart_sab_kuch_bolta_hai™️  For mass benefit one can repost and like , if you don’t have any jealousy for others profit.😅","Dec 2, 2023 · 10:25 AM UTC",61,6
12,https://twitter.com/agsonu55/status/1730893232748573074#m,#UrbanLadder #furniture Order T631874851 had issues but replacement Order T622563024 is full of issues. #Reliance Retail Ltd will surely destroy the reputation of #UrbanLadder by selling such defective products on Urban ladder. Cracks & No pliosh on product. How come they ship...,"Dec 2, 2023 · 10:14 AM UTC",1,5
13,https://twitter.com/FolioStocks/status/1730884466179203519#m,#Reliance 2394  Details in the chart.  #Analysis #Justforeducationalpurpose,"Dec 2, 2023 · 9:39 AM UTC",1,1
14,https://twitter.com/psrk225/status/1730879296003363281#m,In 2012-13 :  #TCS was < Rs.600 #Reliance was < Rs. 500 #Infosys was < Rs.400 #HDFCBank  was < Rs.300 #ICICIBank was < Rs.200 #BajajFin was < Rs.100  #power of investment,"Dec 2, 2023 · 9:19 AM UTC",0,0
15,https://twitter.com/WealthEnrich/status/1730876564798333359#m,In 2012-13 :  #TCS was < Rs.600 #Reliance was < Rs. 500 #Infosys was < Rs.400 #HDFCBank  was < Rs.300 #ICICIBank was < Rs.200 #BajajFin was < Rs.100  You very well know where they stand now in just 10 odd years. Never doubt the power of compounding in quality stocks.,"Dec 2, 2023 · 9:08 AM UTC",507,18
