,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/relianceautomec/status/1733247790673789349#m,Discover peace of mind with our pre-purchase inspection service. Buying a used car? Let Reliance Auto Mechanic ensure it's a reliable investment! #Relianceautomechanic #ontario #canada #brampton #hamilton #auto #body #bodyshop #automotive #reliance #prepurchaseinspection,"Dec 8, 2023 · 10:10 PM UTC",0,0
1,https://twitter.com/VrajPrasad/status/1733247233431330855#m,#Jio #Reliance #RelianceJio #Ambani,"Dec 8, 2023 · 10:08 PM UTC",0,0
2,https://twitter.com/Ermias98619441/status/1733200584419815547#m,"Aid is like a pill that numbs the pain, if you take it too often you get addicted. ""President Isaias Afwerki""  Fostering #self-#reliance and enhancing #food_security are the principles of Eritrean Gov. #EritreaPrevails","Dec 8, 2023 · 7:03 PM UTC",145,23
3,https://twitter.com/PABAT_Academy/status/1733199150970548475#m,#Lodha hit a high of 921.00 and was advised to be bought at 919.00. 👍👍👍👍👍  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Dec 8, 2023 · 6:57 PM UTC",1,0
4,https://twitter.com/PABAT_Academy/status/1733198844916302254#m,#AsianPaint hit a high of 3244.95 and was advised to be bought at 3234.55. 👍👍👍👍👍  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Dec 8, 2023 · 6:56 PM UTC",1,0
5,https://twitter.com/PABAT_Academy/status/1733198283911365100#m,#CDSL hit a high of 1871.00 and was advised to be bought at 1840.50. 👍👍👍👍👍  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Dec 8, 2023 · 6:54 PM UTC",2,0
6,https://twitter.com/PABAT_Academy/status/1733197997851492835#m,#KPRMill hit a high of 828.35 and was advised to be bought at 824.30. 👍👍👍👍👍  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Dec 8, 2023 · 6:52 PM UTC",1,0
7,https://twitter.com/PABAT_Academy/status/1733197498829979856#m,#Tatatech hit a high of 1219.70 and was advised to be bought at 1190.00. 👍👍👍👍👍  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Dec 8, 2023 · 6:50 PM UTC",2,0
8,https://twitter.com/PABAT_Academy/status/1733197217685782794#m,#Cipla hit a high of 1231.20 and was advised to be bought at 1200.95. 👍👍👍👍👍  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Dec 8, 2023 · 6:49 PM UTC",1,0
9,https://twitter.com/PABAT_Academy/status/1733196818509676851#m,#Heromotoco hit a high of 3758.55 and was advised to be bought at 3747.25. 👍👍👍👍👍  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Dec 8, 2023 · 6:48 PM UTC",1,0
