,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/TarakRindani/status/1705358906959237624#m,"#RelianceRetail, a subsidiary of #India 🇮🇳-based #oil-to-#telecom #conglomerate #Reliance Industries, gets full subscription amount of Rs 2,069.50 Cr (~ $249 Mn) from #PrivateEquity giant KKR. https://www.moneycontrol.com/news/business/reliance-retail-gets-full-subscription-amount-of-rs-2069-50-cr-from-kkr-11411011.html","Sep 22, 2023 · 11:10 PM UTC",0,0
1,https://twitter.com/RathaMohit/status/1705300321302610156#m,What work did your team do in how many days?  The family members say that there is no food so if you have not come then go out to eat.  Now tomorrow I will cancel the order and find a solution.  Just you service improvements.#Reliance and other companies have a good opportunity..,"Sep 22, 2023 · 7:17 PM UTC",0,1
2,https://twitter.com/indiablooms/status/1705297195669520520#m,"Reliance Retail gets full subscription amount of Rs 2,069 cr from KKR | Indiablooms - First Portal on Digital News Management https://www.indiablooms.com/finance-details/19161/reliance-retail-gets-full-subscription-amount-of-rs-2-069-cr-from-kkr.html #RRVL #KKR #RIL #Reliance","Sep 22, 2023 · 7:05 PM UTC",0,0
3,https://twitter.com/sbn_co/status/1705270649164530134#m,Nifty - Technical Analysis - 25 Sept'23  #Nifty #ADANIENT #ASIANPAINT #BAJAJFINSV #BHARTIARTL #BPCL #BRITANNIA #HCLTECH #HDFCBANK #HEROMOTOCO #HINDUNILVR #INFY #ITC #LT #MARUTI #NESTLEIND #NTPC #ONGC #POWERGRID #RELIANCE #SUNPHARMA #TATACONSUM #TATAMOTORS #TATASTEEL #TCS #TECHM,"Sep 22, 2023 · 5:19 PM UTC",1,0
4,https://twitter.com/BansiPatidar11/status/1705264881484861795#m,Done 👍 #GeorgiaGulliniCelebrations #Reliance #RelianceIndustries #MensFashion #Ootd #Collection #Fabric @GeorgiaGullini  Tags @LaxmiPatell @HimaniP123 @Chhbi777 @sathishmechy1 @Roypriyanka2,"Sep 22, 2023 · 4:56 PM UTC",0,0
5,https://twitter.com/Magicbullindia/status/1705263892979646929#m,#investors  For all the people who wanna invest for 10 years horizon  Pick up maximum 10 stocks  And keep buying them every 6 months  Some of them are  #IOC #SBIN #Petronetlng #Canbk #Chennaipetro #Coalindia #Reliance #Hdfcbank #Asianpaints #shriramfin  These are just examples !!,"Sep 22, 2023 · 4:52 PM UTC",99,8
6,https://twitter.com/GujaratFirst/status/1705262054485946635#m,લાલબાગ ચા રાજાના દર્શને પહોંચ્યું અંબાણી પરિવાર   #Nitaambani #Mumbai #Reliance #MukeshAmbani #LalbaugchaRaja #anantambani #ambanifamily #radhikamerchant #ShlokaMehta #AkashAmbani #Ganeshotsav2023 #GaneshChaturthi #GaneshChaturthi2023,"Sep 22, 2023 · 4:45 PM UTC",14,0
7,https://twitter.com/AncientInvsting/status/1705262043337830741#m,"#Nifty 19,674.25 (-68.10)  #Sensex 66,009.15 (-221.09)  FII Sell : - 1,326.74 cr  DII Buy : + 801.27  cr  #HDFCBank #Reliance #TataSteel #TataMotors #SmallCaps #Midcap #stockmarketcrash #FIIs #DIIs #AncientInvesting","Sep 22, 2023 · 4:45 PM UTC",0,0
8,https://twitter.com/DikshaDhanraj/status/1705257936384073798#m,"Power of India is just getting started and investments to India will not stop, so be prepared…  #stocks #markets #investing #trading #Nifty #nifty50 #banknifty #GIFTNIFTY #OptionsTrading #stockmarkets #StocksToBuy #HDFCBank #Reliance #ITC #Sensex","Sep 22, 2023 · 4:29 PM UTC",5,0
9,https://twitter.com/DikshaDhanraj/status/1705253682705535444#m,"20-40 billion is no small amount, decade of good times for India could be in making… rating upgrade is round the corner I guess..  #stocks #markets #investing #trading #Nifty #nifty50 #banknifty #GIFTNIFTY #OptionsTrading #stockmarkets #StocksToBuy #HDFCBank #Reliance #ITC","Sep 22, 2023 · 4:12 PM UTC",5,0
10,https://twitter.com/nandha027/status/1705251495451484217#m,#Reliance Approaching visible reversal zone @2346 . One may expect it to bounce back to 2400.,"Sep 22, 2023 · 4:03 PM UTC",1,0
11,https://twitter.com/VenkappaAmaresh/status/1705249338237337654#m,POST MARKET REPORT 22 Sep 2023  Market moved up and down multiple times today and ended flat with some negative bias.  #Nifty was down led by #HDFCBank #ICICIBank and #Reliance  However PSU banks outperformed and as a result #NiftyBank was ok.  Indo-Canada tensions weighing heavy on markets.,"Sep 22, 2023 · 3:54 PM UTC",0,0
