,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/EconomicTimes/status/1688278773441892352#m,"#Reliance Industries Limited (RIL) aims to provide affordable green hydrogen as a viable alternative to traditional fuels, said Chairman #MukeshAmbani in Ambani in RIL's integrated annual report 2022-23 released on Sunday.  https://economictimes.indiatimes.com/industry/renewables/goal-is-to-provide-affordable-green-hydrogen-as-alternative-to-traditional-fuels-jio-financial-services-to-provide-simple-solutions-says-mukesh-ambani/articleshow/102477327.cms","Aug 6, 2023 · 8:00 PM UTC",14,0
1,https://twitter.com/Live_Hindustan/status/1688258637586653184#m,"मुकेश अंबानी अगले 5 साल तक नहीं लेंगे सैलरी, यहां फंस रहा पेच  #MukeshAmbani #Reliance https://www.livehindustan.com/business/story-reliance-seeks-to-extend-mukesh-ambani-chairman-term-for-5-more-years-check-details-8541040.html","Aug 6, 2023 · 6:40 PM UTC",2,1
2,https://twitter.com/BrandsOye/status/1688253322753687552#m,"With Azorte, Mukesh Ambani & Isha Ambani are Planning to Emerge as Biggest Player in India’s Luxury Market  https://brandsoye.com/news-fashion-lifestyle-with-azorte-mukesh-ambani-isha-ambani-are-planning-to-emerge-as-the-biggest-player-in-indias-luxury-market/ #Fashion #Reliance #IshaAmbani #MukeshAmbani #RelianceRetail #Azorte #Mumbai #NewDelhi #Gurugram #Pune #Noida #Hyderabad #Chennai #Retail","Aug 6, 2023 · 6:18 PM UTC",1,0
3,https://twitter.com/ConnectwithJJR/status/1688246965228675072#m,👇Stock going to be watchable!!!  #Reliance   This stock’s nearly trading in Year 2022 High…  Waiting for Blue line crossing🙂  #stock #Investing #Investment #Sharemarket #Stockmarket #Stockmarketindia #RIL #RELIANCE,"Aug 6, 2023 · 5:53 PM UTC",0,2
4,https://twitter.com/EconomicTimes/status/1688243538243260416#m,"#Reliance Industries Ltd, India's most valuable company, has sought shareholder's approval to give #MukeshAmbani another five-year term as chairman and managing director of the company till 2029 -- a period during which he has opted to draw nil salary.  https://economictimes.indiatimes.com/markets/stocks/news/reliance-seeks-shareholder-nod-to-appoint-ambani-as-head-for-another-5-years-at-nil-salary/articleshow/102475381.cms","Aug 6, 2023 · 5:40 PM UTC",36,2
5,https://twitter.com/CallsOption/status/1688239820198359040#m,#RELIANCE   ✅BUY ABOVE 2520 AND TARGET WILL BE 2532/2541/2555.  ✅SL 2490.,"Aug 6, 2023 · 5:25 PM UTC",0,1
6,https://twitter.com/Bajajtraderss/status/1688238596870795264#m,NMDC LTD STOCK FOR SWING TRADE 06-08-23 #NMDC #Infosys #coalindia #reliance #nifty #banknifty #stocktowatch #stocktobuy #vedl #tatachem #ambuja #ACC #upl #stockmarkets #SwingTrading,"Aug 6, 2023 · 5:20 PM UTC",1,0
7,https://twitter.com/Bajajtraderss/status/1688237832802906112#m,infosys LTD STOCK FOR SWING TRADE 06-08-23 #Infosys #coalindia #reliance #nifty #banknifty #stocktowatch #stocktobuy #vedl #tatachem #ambuja #ACC #upl #stockmarkets #SwingTrading,"Aug 6, 2023 · 5:17 PM UTC",1,0
8,https://twitter.com/aka911_/status/1688237775555067904#m,This essentially removes the near term succession overhang over #Reliance industries.   There were a lot of questions over Ambani’s health a few years ago.   This step will bolster investor confidence.,"Aug 6, 2023 · 5:17 PM UTC",3,1
9,https://twitter.com/Bajajtraderss/status/1688237651361431552#m,indus tower  LTD STOCK FOR SWING TRADE 06-08-23 #industowers #coalindia #reliance #nifty #banknifty #stocktowatch #stocktobuy #vedl #tatachem #ambuja #ACC #upl #stockmarkets #SwingTrading,"Aug 6, 2023 · 5:16 PM UTC",0,0
10,https://twitter.com/BABY__BULLS/status/1688237440048496640#m,#Reliance AGM Special Business: Resolution to alter MoA objects to allow business in all areas of integrated renewable energy power projects  #RenewPower #Adanigreen,"Aug 6, 2023 · 5:15 PM UTC",1,0
11,https://twitter.com/ArthaSachi/status/1688235702469947392#m,Apple Inc Quarterly Result👉INSIGHT  #Apple #AAPL #DowJones #Nasdaq #US #SPX500 #FTSE100 #NSE #BSE #NIFTY50 #SENSEX #MSFT #GOOG #RELIANCE #INDIA #NIKKEI #TCS #TATA #WIPRO #HCLTECH #GERMANY #DAX #CHINA #JAPAN #EUROPE #ASX #HDFCBANK @ICICIBank @AdaniOnline @reliancegroup @NSEIndia,"Aug 6, 2023 · 5:08 PM UTC",3,0
12,https://twitter.com/AliaSharma57/status/1688233723723210752#m,"ये सावन अपनों के लिए, अपने सगे-संबंधियों को इस सावन करे #JioBharatV2 फ़ोन गिफ्ट वो भी मात्र 999रू में। #jiobharat #reliance","Aug 6, 2023 · 5:01 PM UTC",163,0
