,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/Nayantasharma/status/1699560475950793170#m,एयरटेल #Airtel #Idea #Vodafone #Reliance #Jio माकसम खा के कह रही हूं अगर जनता को 1.5 gb पर डे मिलता है और अनलिमिटेड कॉलिंग पर भी लिमिट लगा दो कॉल जो भी प्लान खरीदते हो  आज लोग सब इंटरनेट से ही कॉल करते है उसमे डाटा लगता है जो टेलीकॉम कंपनियां कम दे रही है,"Sep 6, 2023 · 11:09 PM UTC",5,0
1,https://twitter.com/RelianceHIE/status/1699522708021891486#m,"Rest assured, your health information is treated with the utmost care and security through Reliance! Learn more: https://zurl.co/YDOC #Reliance #HIE #HealthPrivacy #SecureHealthcare #Trusted","Sep 6, 2023 · 8:39 PM UTC",0,0
2,https://twitter.com/dhavalkotadiyaa/status/1699512270928417090#m,#Intraday_Stock #Reliance  15M W PATTERN,"Sep 6, 2023 · 7:57 PM UTC",1,1
3,https://twitter.com/ShortCartels/status/1699487734199361738#m,INDUSTOWER STOCK 1H   #zeel #ITC #NTPC #reliance #mrf #nifty #banknifty #ACC #tatamotors #Britannia #stocktowatch #gnfc #adaniports #coalindia #sail #coalindia #godrejconsumer #stocktobuy #vedl #tatachem #sbin,"Sep 6, 2023 · 6:20 PM UTC",0,0
4,https://twitter.com/Trading_kn1ght/status/1699483483863933287#m,"This month auto ,metal and energy stocks will be under light - tata steel and abb india join in tech reduce carbon footprint in steel prod - tata power 12 MW solar project for tata motors #StocksToBuy #stockmarkets #StocksInFocus #Reliance #TataSteel #TataMotors","Sep 6, 2023 · 6:03 PM UTC",4,0
5,https://twitter.com/ShortCartels/status/1699483420395470958#m,IGL STOCK 1D  #zeel #ITC #NTPC #reliance #mrf #nifty #banknifty #ACC #tatamotors #Britannia #stocktowatch #gnfc #adaniports #coalindia #sail #coalindia #godrejconsumer #stocktobuy #vedl #tatachem #sbin,"Sep 6, 2023 · 6:03 PM UTC",0,0
6,https://twitter.com/stevan1971/status/1699478808821105064#m,"#Reliance Retail Ventures Ltd has secured a stake in Ed-a-Mamma, the kids and maternity-wear brand owned by Bollywood star Alia Bhatt.","Sep 6, 2023 · 5:44 PM UTC",1,0
7,https://twitter.com/skbvidya/status/1699475946011603038#m,#Reliance- shows a good u-turn at the bottom. Still early to say it's reversing as crossing and sustaining above green line that runs at 2475 is needed for confirmation.,"Sep 6, 2023 · 5:33 PM UTC",3,0
8,https://twitter.com/ShortCartels/status/1699475325137170571#m,THANGAMAYIL JEWELL STOCK 1H #zeel #ITC #NTPC #reliance #mrf #nifty #banknifty #ACC #tatamotors #Britannia #stocktowatch #gnfc #adaniports #coalindia #sail #coalindia #godrejconsumer #stocktobuy #vedl #tatachem #sbin,"Sep 6, 2023 · 5:31 PM UTC",1,0
9,https://twitter.com/ShortCartels/status/1699468254056427973#m,MGL stock   #zeel #ITC #NTPC #reliance #mrf #nifty #banknifty #ACC #tatamotors #Britannia #stocktowatch #gnfc #adaniports #coalindia #sail #coalindia #godrejconsumer #stocktobuy #vedl #tatachem #sbin,"Sep 6, 2023 · 5:03 PM UTC",0,0
