,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/sagarhbk321/status/1688647090623361028#m,Ofcourse #CNBCTV18Market is on an campaign to smeer #vodafoneidea #AdaniGroup & any entity that is a threat to #Reliance . Ever seen anyone with Ji0 service happy? most of the time they are in no network zone. Those who can get past false narrative against #VI will flourish 💰👍🏼,"Aug 7, 2023 · 8:23 PM UTC",2,0
1,https://twitter.com/MOT_FNO/status/1688637998462619648#m,"📊#FIIs /#DIIs activity on 7th Aug, Mon  CASH: Net sell figure Options: FII Bullish Futures: FII Bullish  #giftnifty #expiry #banknifty #nifty #zerodha #finnifty #niftybank #optiontrading #optionbuying #niftyoptions #bankniftyoptions #optionselling #optionstrading #reliance #BTST","Aug 7, 2023 · 7:47 PM UTC",0,0
2,https://twitter.com/Badhrinath_K/status/1688636544549355521#m,#Reliance getting into Banking.,"Aug 7, 2023 · 7:41 PM UTC",1,0
3,https://twitter.com/MarketScope360/status/1688617539016994818#m,#RELIANCE... Looking good 08.08.23 🔥Swing Picks ➡️ go.traders-toolkit.com #investing #stocks #tradingcommunity dlvr.it/StKZ65,"Aug 7, 2023 · 6:26 PM UTC",0,0
4,https://twitter.com/MoneyPoise/status/1688617448327815168#m,Reliance Retail positioned for industry leadership with impressive growth: Annual report  #Reliance #RelianceRetail https://moneypoise.com/reliance-retail-positioned-for-industry-leadership-with-impressive-growth-annual-report,"Aug 7, 2023 · 6:25 PM UTC",0,0
5,https://twitter.com/mukeshxl/status/1688611075070242820#m,"Reliance Group Hired Record 2.62 Lakh People in FY 2022-23:  • Reliance Retail - 1.8 Lakh • Reliance Jio - 70,500  #Reliance is creating jobs in India, providing opportunities to our people....still some crooks disrespect wealth creators of Country for their vested interests.","Aug 7, 2023 · 6:00 PM UTC",0,0
6,https://twitter.com/RelianceHIE/status/1688610965729013761#m,"Reliance's CHR can revolutionize your healthcare workflow. Reliance streamlines your processes by delivering consolidated results from all participating hospitals in one place, along with effective provider communication management. #Reliance #HIE #CHR https://zurl.co/LdP4","Aug 7, 2023 · 6:00 PM UTC",0,0
7,https://twitter.com/manishgehani/status/1688609528638754816#m,Day 30: been exactly a month and @reliancejio still hasn't returned my money. Yet the audacity to block the account! Ek toh chori....  #cheat #complaint #people #poorservice #CustomerService #formalcomplaint #Pune #India #Reliance #Jio,"Aug 7, 2023 · 5:54 PM UTC",0,1
8,https://twitter.com/the_newsmen/status/1688599896495210496#m,RIL's air emissions across various categories came down markedly during FY23 from the FY22 levels despite growing production and energy consumption. #reliance @reliancegroup #economy https://thenewsmen.co.in/business/reliance-accelerates-progress-on-its-net-zero-journey-achieves-net-reduction-in-air-emissions-despite-growing-energy-consumption/114795,"Aug 7, 2023 · 5:16 PM UTC",0,0
9,https://twitter.com/Bajajtraderss/status/1688597354646253568#m,Global GREEN 💚💚💚💚💚💚💚💚  JOIN ON TELEGRAM #zeel #reliance #nifty #banknifty #stocktowatch #stocktobuy #vedl #tatachem #ambuja #ACC #tatachemical #Britannia #gnfc #LICHSGFIN #TATAMOTORS #PERSISTANT #hdfc,"Aug 7, 2023 · 5:05 PM UTC",1,1
10,https://twitter.com/itradebrains/status/1688595768913911808#m,FII Cash & Derivative Statistics Dated 07/08/2023 #nifty #nifty50 #niftyoptions #Niftyfutures #niftyfinance #NIFTYIT #banknifty #NiftyBank #nifty500 #OptionsTrading #optiontrading #optionkipathshala #OptionChain #optionbuying #zerodha #hdfcbank #Reliance #ICICIBank #ICICI #sbin,"Aug 7, 2023 · 4:59 PM UTC",0,0
11,https://twitter.com/Bajajtraderss/status/1688595408388608000#m,SRF's expected trend  #zeel #reliance #nifty #banknifty #stocktowatch #stocktobuy #vedl #tatachem #ambuja #ACC #tatachemical #Britannia #gnfc #LICHSGFIN #TORRANTPHARMA #igl #gujaratgas #prajind #sbfc,"Aug 7, 2023 · 4:58 PM UTC",0,0
12,https://twitter.com/lankasrinetwork/status/1688595053059727360#m,"ஒரு ரூபாய் சம்பளம் பெறாமல், இன்னும் பணக்காரர்கள் பட்டியலில் முதலிடம்; அம்பானியின் மந்திரம் என்ன?  https://news.lankasri.com/article/indias-richest-man-mukesh-ambani-zero-salary-1691418467 #lankasrinews #Reliance #India #MukeshDhirubhaiAmbani #Money #Businessman","Aug 7, 2023 · 4:56 PM UTC",0,0
13,https://twitter.com/Bajajtraderss/status/1688593695501697028#m,MAX HEALTH  LTD STOCK FOR SWING TRADE     07-08-23   #maxhealthcare #maxhealth #SBIN #lichfl #hdfcbank #stockinfocus #IRFC #NMDC #Infosys #coalindia #reliance #nifty #banknifty #stocktowatch #stocktobuy #vedl #tatachem #ambuja #ACC #upl #stockmarkets #SwingTrading,"Aug 7, 2023 · 4:51 PM UTC",0,0
14,https://twitter.com/amol_patil/status/1688588754972536832#m,Tough part here is - Paper release on such documents are happening when @WalmartInc is ring fencing @Flipkart for an IPO with exits to marginal shareholders or @PhonePe stakeholders   #Reliance behind this ? Can't deny. Motabhai is brutal with competition.,"Aug 7, 2023 · 4:31 PM UTC",1,1
15,https://twitter.com/amol_patil/status/1688588274141667328#m,"This must be including Gig, blue collar - which would have been anyway hired earlier as well but never counted in headlines. It's IPO time for #Reliance they know how to create buzz  #reliancejio","Aug 7, 2023 · 4:29 PM UTC",2,0
16,https://twitter.com/DilipGavade006/status/1688586716347809792#m,"नुसत्या अफवा, गॅस काय कमी होत नाही, पोटात गॅस होऊन मात्र स्वस्त झाल्याच्या बातम्या स्वस्त बसू देत नाहीत. #ONGC #HPGas #LPG #Reliance","Aug 7, 2023 · 4:23 PM UTC",0,0
17,https://twitter.com/VijyatMaurya/status/1688584182908555264#m,5G speed of @reliancejio @JioCare @BandBajaateRaho @jagograhakjago @consumr_rights @ConsumerReports #JioCinema #jio #reliancejio #Reliance,"Aug 7, 2023 · 4:13 PM UTC",1,1
18,https://twitter.com/Bajajtraderss/status/1688571488847470592#m,IRCTC SMALL DIPS WILL HELP IN FOR LARGER MOVES🤞 #zeel #reliance #nifty #banknifty #stocktowatch #stocktobuy #vedl #tatachem #ambuja #ACC #tatachemical #Britannia #gnfc #LICHsgFin #Emami #gnfc,"Aug 7, 2023 · 3:23 PM UTC",1,0
19,https://twitter.com/vidit_popli/status/1688570965632983040#m,Next hit to 20k #Nifty  has to come from #Reliance,"Aug 7, 2023 · 3:21 PM UTC",3,0
20,https://twitter.com/Bajajtraderss/status/1688570013525921793#m,LIC HFL  LTD STOCK FOR SWING TRADE 07-08-23 #lichfl #hdfcbank #stockinfocus #IRFC #NMDC #Infosys #coalindia #reliance #nifty #banknifty #stocktowatch #stocktobuy #vedl #tatachem #ambuja #ACC #upl #stockmarkets #SwingTrading,"Aug 7, 2023 · 3:17 PM UTC",0,0
21,https://twitter.com/Bajajtraderss/status/1688568635680493568#m,UPL SET FOR TOMORROW  #zeel #reliance #nifty #banknifty #stocktowatch #stocktobuy #vedl #tatachem #ambuja #ACC #tatachemical #Britannia #gnfc #Emami #LICHsgFin,"Aug 7, 2023 · 3:11 PM UTC",0,1
22,https://twitter.com/Bajajtraderss/status/1688565293990445056#m,"Tata Chemicals Ltd_Q1'24  Weak Results!  Revenue up YoY, down QoQ  Revenue up 5.6% at ₹4,218 cr vs ₹3,995 cr (YoY)  PAT down both QoQ and YoY  Net profit down 11.8% at ₹523 cr vs ₹593 cr (YoY)  EBITDA margin at 24.7% vs 25.4% (YoY) #zeel #reliance #nifty #banknifty #stock","Aug 7, 2023 · 2:58 PM UTC",0,0
23,https://twitter.com/aydin_stud/status/1688556004106031105#m,"🏇Retirement Beckons 🇬🇧🥇 (Epaulette 🇦🇺 - Mystical Ayr 🇨🇮, by Namid 🇬🇧)  🇬🇧 Ayr  #Ayr #UnitedKingdom #Epaulette #IndianRidge #PersianBold #Reliance","Aug 7, 2023 · 2:21 PM UTC",7,0
24,https://twitter.com/Bajajtraderss/status/1688550939278622721#m,Zeel will also be an important pick for tomorrow 🥳🥳  #zeel #reliance #nifty #banknifty #stocktowatch #stocktobuy #vedl #tatachem #ambuja #ACC #tatachemical #Britannia #gnfc,"Aug 7, 2023 · 2:01 PM UTC",2,0
25,https://twitter.com/AncientStock/status/1688549371602927617#m,Fast Track to Stocks: Nifty & BankNifty Insights in 60 Seconds - 08.08.2023   #NIFTY #BANKNIFTY #ADANIENT #LUPIN #RELIANCE #SBIN #TECHM #TVSMOTOR #UPL https://piped.kavin.rocks/nKE6s_f-CKU  Just Connect With Us  https://ancientstock.carrd.co/ 👈🏻,"Aug 7, 2023 · 1:55 PM UTC",1,0
26,https://twitter.com/vij72/status/1688548281050443776#m,Perhaps recently a deal between #Reliance and #Aramco  didn’t get through for some reason . Had it been materialised  there could be tremendous change in Indian oil market so that INDIA could also have a blend of #OilDrivenEconomy.,"Aug 7, 2023 · 1:50 PM UTC",0,0
27,https://twitter.com/7pmnews_/status/1688547724806025216#m,ముకేష్ అంబానీ జీతం ఎంతో తెలుసా? కోట్లు కాదు O. https://7pmnews.com/mukesh-ambanis-salary/ #Trending #TeluguNews #MukeshAmbani #Reliance #jio #Indian #viralnews #Newsnight #RelianceIndustries #salary,"Aug 7, 2023 · 1:48 PM UTC",1,0
28,https://twitter.com/Bajajtraderss/status/1688545081131929600#m,Tomorrow market Expectations?  #zeel #reliance #nifty #banknifty #stocktowatch #stocktobuy #vedl #tatachem #ambuja #ACC #tatachemical #Britannia #gnfc,"Aug 7, 2023 · 1:38 PM UTC",0,0
29,https://twitter.com/Bajajtraderss/status/1688544963007815680#m,AMBUJA CEMENT ALSO UP FOR TOMORROW  #zeel #reliance #nifty #banknifty #stocktowatch #stocktobuy #vedl #tatachem #ambuja #ACC #tatachemical #Britannia #gnfc,"Aug 7, 2023 · 1:37 PM UTC",0,0
30,https://twitter.com/thatsTamil/status/1688544350777819136#m,ரிலையன்ஸ் இண்டஸ்ட்ரீஸ் அடுத்த தலைவர் யார்..? கடைசி 5 வருடம்..  #Reliance #MukeshAmbani #ManagingDirector #ரிலையன்ஸ் https://tamil.goodreturns.in/news/mukesh-ambani-term-ends-by-5-years-who-will-be-next-chairman-and-managing-director-reliance-industr-036035.html,"Aug 7, 2023 · 1:35 PM UTC",2,0
31,https://twitter.com/business_today/status/1688540534279700481#m,Reliance might announce a new 5G smartphone in India soon. #Reliance #Jio https://www.businesstoday.in/technology/news/story/reliance-agm-2023-from-5g-plans-to-jiophone-5g-and-airfiber-heres-what-we-may-see-at-the-event-393160-2023-08-07,"Aug 7, 2023 · 1:20 PM UTC",3,0
32,https://twitter.com/about_nav/status/1688540522963775488#m,"#Vedanta This one aged well... the warnings were all over the place & the corporate governance issues!!! - Keen eye on details!!! Cheers!!! - 300 to 240 in a strong market. And, the future doesn't look optimistic either. Will keep posted. #Nifty #TataMotors #Reliance #HDFCBank","Aug 7, 2023 · 1:20 PM UTC",1,0
