,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/HOMESECON/status/1733939702514754029#m,CHRISTMAS SALE ALERT: Unmissable savings on top Home Security brands! Don't miss out on this Ultimate Sale! #Ness #Security #alarm #Bosch2000 #Bosch3000 #Reliance https://ow.ly/hbV750QcKCk,"Dec 10, 2023 · 8:00 PM UTC",0,0
1,https://twitter.com/dongodsmanna/status/1733919982965445017#m,#Reliance  From 2314 to 2455 in exactly 1 month - Up 6%.  Long way to go Reliance and Nifty !  #Nifty,"Dec 10, 2023 · 6:41 PM UTC",11,0
2,https://twitter.com/alokdesai/status/1733898296366952510#m,"⁦@JioCare⁩ Seriously, what’s wrong with you? ⁦@reliancejio⁩ #jio #reliance","Dec 10, 2023 · 5:15 PM UTC",0,0
3,https://twitter.com/Ankur280986/status/1733891973239427441#m,Date 10.12.2023     ZEE (daily) range shift base 271 multi resistance breakout 286   #zeel #brent #crudeoil #usdinr #tatamotor #infosys #adani #banknifty #nifty #reliance #stockstowatch #stockmarkets #sharemarket #cryptocurrency #bitcoin #altcoins #dogecoin #breakout #trading,"Dec 10, 2023 · 4:50 PM UTC",1,0
4,https://twitter.com/WisdomWarp/status/1733889669677584443#m,Dunzo's future is in jeopardy with Reliance's control – watch the full video to uncover the dramatic corporate chess game at play 🤯♟️  Don't miss out! 😳  #Reliance #RelianceJio #Dunzo #Ambani #MukeshAmbani #Modi #BJP,"Dec 10, 2023 · 4:41 PM UTC",0,0
5,https://twitter.com/Ankur280986/status/1733888247829279011#m,"Date 10.12.2023   Brent (weekly)  cmp $ 75.84  if breaks $ 72.14 , wave c target $ 54   #brent #crudeoil #usdinr #tatamotor #infosys #adani #banknifty #nifty #reliance #stockstowatch #stockmarkets #sharemarket #cryptocurrency #bitcoin #altcoins #dogecoin #breakout #trading","Dec 10, 2023 · 4:35 PM UTC",1,0
6,https://twitter.com/arijitksom/status/1733875129380425868#m,With reference to Tax invoice no. FR3E10623507157 I am unable to exchange an item for even higher price from the store. 02 stores visited but no help.Please help. #Reliance #RelianceIndustries #ishaambani,"Dec 10, 2023 · 3:43 PM UTC",1,0
7,https://twitter.com/Dheepak_TS/status/1733859394474094849#m,@JioCare JIO = Reliance = Frod  Giving Fake Promises and fooling customers. For past 1 week no response no Internet. Only focusing on new customers. JIO is now use and throw product. #jio #Reliance #jiofiber #ChennaiFloods2023,"Dec 10, 2023 · 2:41 PM UTC",2,2
8,https://twitter.com/akela_verma/status/1733849751693754408#m,THEY NEED TO RELEASE THIS IN INDIAN THEATRES WHAT THE HELL IS THE ISSUE I DONT GET TO UNDERSTAND JUST DO IT plss #PVR #imax #India #BookMyShow #paytminsider #indiancinema #Reliance,"Dec 10, 2023 · 2:02 PM UTC",2,0
9,https://twitter.com/SubhraBera17/status/1733830324814303619#m,b. Wearing socks with sandals  #ContestAlert #SocksRulesContest #Reliance #RelianceIndustries #GeorgiaGullini @GeorgiaGullini 💗,"Dec 10, 2023 · 12:45 PM UTC",0,0
