,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/InsolvencyT/status/1734295174077952251#m,#IRDAI objects to #Reliance General Insurance proposal to transfer 25% shared to @hindujagroup https://insolvencytracker.in/2023/12/11/irdai-objects-to-reliance-general-insurance-proposal-to-transfer-25-shared-to-hindujas/,"Dec 11, 2023 · 7:32 PM UTC",1,0
1,https://twitter.com/RelianceHIE/status/1734286934846120176#m,"Explore Reliance's Health Information Exchange benefits! Doctors securely share crucial details, speeding up treatment and potentially saving time and money. Ensure your doctor is connected for a smarter healthcare experience. Learn more: https://zurl.co/qjJa #Reliance #HIE","Dec 11, 2023 · 7:00 PM UTC",0,0
2,https://twitter.com/karanz99/status/1734258144489152558#m,@Grewal988 veerji you forgot  200 points in #banknifty 70 in #nifty and 2500 per lot in #reliance on friday also.Apna ok hai veer thanks to you baaki ka pata nahi✌️,"Dec 11, 2023 · 5:05 PM UTC",1,1
3,https://twitter.com/TradingMarvel/status/1734255778591326251#m,"Which #Reliance stocks can be #Multibagger or fuss  ?  💴R Capital  🪫R Power  🏗️R Infra  📞R Com   Out of 4 ,one stock is better 👍 We will share our view tomorrow .","Dec 11, 2023 · 4:56 PM UTC",141,33
4,https://twitter.com/udaybommineni/status/1734253962180841776#m,"While Nifty and all Major Nifty main and sectoral indices hit all time highs, These stocks gave negative returns in the last 6 months.  Good time to add any?  #Sbicards #adaniwilmar #Adani #UPL #Vedanta #hindustan #pidilite #Kotakmahindra #Reliance #havells","Dec 11, 2023 · 4:49 PM UTC",4,0
5,https://twitter.com/infinityasset/status/1734253395001688525#m,#nifty50 #infy #Reliance #AdaniGroup #HDFCBANK,"Dec 11, 2023 · 4:46 PM UTC",0,0
6,https://twitter.com/bokadia_vinita/status/1734252382274589082#m,(B) Wearing socks with sandals   #ContestAlert #SocksRulesContest #Reliance #RelianceIndustries #GeorgiaGullini #Contest2023 @deepu_august @mommy_of_yahvi @kkdhikiya31 @YahviDhikiya,"Dec 11, 2023 · 4:42 PM UTC",1,1
7,https://twitter.com/sbn_co/status/1734252022613037163#m,Nifty - Open Interest Analysis - 11 Dec'23  #sensibull #Nifty #ADANIENT #ASIANPAINT #BAJAJFINSV #BHARTIARTL #BPCL #BRITANNIA #HCLTECH #HDFCBANK #HEROMOTOCO #HINDUNILVR #INFY #ITC #LT #MARUTI #NESTLEIND #NTPC #ONGC #POWERGRID #RELIANCE #SUNPHARMA #TATACONSUM #TATAMOTORS,"Dec 11, 2023 · 4:41 PM UTC",1,0
8,https://twitter.com/jrahuluaa/status/1734250946547585406#m,"No wonder @reliancejio stock is strong, 10:03 PM pr ek hi telecom provider khula h.  Moral: USP na ho to banado  #Reliance #motabhai #jio #groww","Dec 11, 2023 · 4:37 PM UTC",2,0
9,https://twitter.com/sbn_co/status/1734250769745166759#m,Nifty - Technical Analysis - 12 Dec '23  #Nifty #ADANIENT #ASIANPAINT #BAJAJFINSV #BHARTIARTL #BPCL #BRITANNIA #HCLTECH #HDFCBANK #HEROMOTOCO #HINDUNILVR #INFY #ITC #LT #MARUTI #NESTLEIND #NTPC #ONGC #POWERGRID #RELIANCE #SUNPHARMA #TATACONSUM #TATAMOTORS #TATASTEEL #TCS #TECHM,"Dec 11, 2023 · 4:36 PM UTC",0,0
10,https://twitter.com/EconomicTimes/status/1734249181139833063#m,"#Dunzo's future hangs by a thread, which is in the hands of #billionaire #Ambani's #Reliance https://economictimes.indiatimes.com/tech/startups/dunzo-survival-hinges-on-reliance-retail-commitment-to-funds/articleshow/105883985.cms","Dec 11, 2023 · 4:30 PM UTC",5,1
11,https://twitter.com/sbn_co/status/1734248430766313669#m,Outstanding OI of FII in Index options  #NSE #BSE #MSEI #sensex #Nifty #ADANIENT #ASIANPAINT #BAJAJFINSV #BHARTIARTL #BPCL #BRITANNIA #HCLTECH #HDFCBANK #HEROMOTOCO #HINDUNILVR #INFY #ITC #LT #MARUTI #NESTLEIND #NTPC #ONGC #POWERGRID #RELIANCE #SUNPHARMA,"Dec 11, 2023 · 4:27 PM UTC",0,0
12,https://twitter.com/sbn_co/status/1734247299386384671#m,FII & DII trading activity  #NSE #BSE #MSEI #sensex #Nifty #ADANIENT #ASIANPAINT #BAJAJFINSV #BHARTIARTL #BPCL #BRITANNIA #HCLTECH #HDFCBANK #HEROMOTOCO #HINDUNILVR #INFY #ITC #LT #MARUTI #NESTLEIND #NTPC #ONGC #POWERGRID #RELIANCE #SUNPHARMA,"Dec 11, 2023 · 4:22 PM UTC",0,0
13,https://twitter.com/PABAT_Academy/status/1734236820341420240#m,#Gandhar might manifest #buying #pressure near 287.50  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Dec 11, 2023 · 3:40 PM UTC",3,0
14,https://twitter.com/Ankur280986/status/1734220120489087104#m,Date 11.12.2023 Cholamandalam finance (day chart)  #cholafin #nifty #banknifty #rvnl #irfc #ipoalert #breakoutstock #investing #trading #optionbuying #optiontrading #cryptomarket #bitcoin #altcoin #nft #crude #usdinr #fed #ireda #stockmarket #sharemarket #adani #tata #reliance,"Dec 11, 2023 · 2:34 PM UTC",2,0
15,https://twitter.com/StockRck/status/1734219938607591897#m,#nifty50 #StocksToBuy #banknifty #Reliance #StockToWatch #Nifty #stockmarkets #NiftyBank #StockMarketindia #HDFCBank #StocksToBuy,"Dec 11, 2023 · 2:33 PM UTC",10,2
16,https://twitter.com/MunmunD77420711/status/1734217611234402516#m,b. Wearing socks with sandals       #SocksRulesContest #Reliance #RelianceIndustries #GeorgiaGullini #Contest2023 @GeorgiaGullini @Kinjal__01 @DipakKu77666976 @Shailes31441206 @Gayathrimohan_ @Nalini18751612,"Dec 11, 2023 · 2:24 PM UTC",2,0
17,https://twitter.com/MoumitaGoon/status/1734217543714558394#m,A Company should fullfill  these 6 criterias to qualify as V40 company.  Keep reading.  #StockMarket #stocks #StockMarketindia #Investing #blackout #DallasCowboys #ChiefsKingdom #sundayvibes #v40 #hdfc #reliance #airtel,"Dec 11, 2023 · 2:24 PM UTC",6,2
18,https://twitter.com/relianceautomec/status/1734217253518823841#m,📷 Car of the Week: Embracing the sheer elegance and precision of this BMW marvel. 📷 Drop a 📷 if you're in awe of its sophistication! #Canada #MechanicLife #ontario #brampton #hamilton #toronto #relianceautomechanic #SafetyFirst #repair #reliance #mechanic #CAAPartner,"Dec 11, 2023 · 2:23 PM UTC",0,0
19,https://twitter.com/PABAT_Academy/status/1734212261047312605#m,#KEI might manifest #buying #pressure near 2905.60  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Dec 11, 2023 · 2:03 PM UTC",1,0
20,https://twitter.com/PABAT_Academy/status/1734211272609255497#m,#M&M might manifest #buying #pressure near 1630.40  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Dec 11, 2023 · 1:59 PM UTC",1,0
21,https://twitter.com/PABAT_Academy/status/1734210554565419390#m,#Pidilitind might manifest #buying #pressure near 2514.60  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Dec 11, 2023 · 1:56 PM UTC",1,0
22,https://twitter.com/PABAT_Academy/status/1734210162255438272#m,#Thermax might manifest #buying #pressure near 2652.55  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Dec 11, 2023 · 1:54 PM UTC",1,0
23,https://twitter.com/PABAT_Academy/status/1734209766925512773#m,#Maruti might manifest #buying #pressure near 10500.50  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Dec 11, 2023 · 1:53 PM UTC",1,0
24,https://twitter.com/PABAT_Academy/status/1734208941951979889#m,#BEML hit a high of 2495.00 and was advised to be bought at 2432.60. 👍👍👍👍👍  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Dec 11, 2023 · 1:50 PM UTC",1,0
25,https://twitter.com/PABAT_Academy/status/1734208406628810838#m,#Linc hit a high of 667.00 and was advised to be bought at 665.60. 👍👍👍👍👍  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Dec 11, 2023 · 1:47 PM UTC",1,0
