,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/moneycontrolcom/status/1700652807362404727#m,#Reliance Industries Limited has donated Rs 25 crore to #Uttarakhand to help Himalayan state in its flood relief measures after massive destruction caused by heavy rainfall and subsequent landslides.  Read ⬇️ https://moneycontrol.com/news/business/reliance-donates-rs-25-crore-to-uttarakhand-for-flood-relief-11339041.html #UttarakhandFloods,"Sep 9, 2023 · 11:30 PM UTC",26,0
1,https://twitter.com/lankasrinetwork/status/1700626485483041111#m,ரிலையன்ஸ் AI சூப்பர் கம்ப்யூட்டர்கள் விரைவில் இந்தியாவில் அறிமுகம்  https://news.lankasri.com/article/reliance-nvidia-ai-supercomputers-partnership-jio-1694285729 #lankasrinews #lankasri #Reliance #ArtificialIntelligence,"Sep 9, 2023 · 9:45 PM UTC",0,0
2,https://twitter.com/TheHorizon_ai/status/1700611747894161461#m,India’s Reliance partners with Nvidia to build large language model - https://thehorizon.ai/indias-reliance-partners-with-nvidia-to-build-large-language-model Visit https://thehorizon.ai for more AI news. #AI #artificialintelligence #business #india #nvidia #reliance,"Sep 9, 2023 · 8:46 PM UTC",0,0
3,https://twitter.com/AbrahamIsaac22/status/1700610435442217218#m,"And BSNL without getting allocation for 4G spectrum, is being killed purposefully to benefit our PMs friend #Reliance @_MukeshAmbani","Sep 9, 2023 · 8:41 PM UTC",2,1
4,https://twitter.com/lankasrinetwork/status/1700606210452390206#m,"அன்று ஹொட்டல் ஊழியர்... இன்று ரிலையன்ஸ், டாடா குழுமங்களுடன் கூட்டணி: அவரின் சொத்து மதிப்பு  https://news.lankasri.com/article/once-waiter-now-partnered-with-mukesh-ambani-tata-1694283698 #Reliance #lankasrinews #lankasri #TATA #Money","Sep 9, 2023 · 8:24 PM UTC",0,0
5,https://twitter.com/PSandhai/status/1700590752185651586#m,A NO-DEBT company owned by #Reliance Ind.  CMP: Rs.18.6 Market CAP: Rs.3283Crs.  Let's see the Data:  Net Profit CAGR (5yrs): 20.7% Sales CAGR (5yrs): 4% Price/BV: 0.51 (highly undervalued) Rising ROCE & ROE The stock has seen exponential growth in Volumes lately.,"Sep 9, 2023 · 7:23 PM UTC",0,1
6,https://twitter.com/desipaaji/status/1700586711200522507#m,India’s Reliance partners with Nvidia to build large language model  #NVIDIA #Reliance #partnership #technology https://techcrunch.com/2023/09/08/reliance-nvidia-india/,"Sep 9, 2023 · 7:07 PM UTC",0,0
7,https://twitter.com/Raj_Ranga2002/status/1700584849692893596#m,Watch it Tomorrow Morning Guys. @ 11:11 AM  A Small Video on Views / Levels on  #Nifty Next Week | #BankNifty Next Week  #StocksInFocus #Reliance #Irctc #TataPower #HDFCBank   Please Like / Share & Subscribe To The Channel To Get Regular Updates   https://inv.tux.pizza/VF3dhjiT1gM?si=J4XYOKCgei6vh6li,"Sep 9, 2023 · 6:59 PM UTC",7,0
8,https://twitter.com/stevan1971/status/1700563685918343524#m,"#Reliance ends the week strong, closing at Rs. 2448.20 with a 0.67% gain on Friday. Postive News (Source - Marketwatch) Nvidia joins hands with Reliance Industries. 🤝 Reliance  plans to leverage AI for its telecom service Jio.","Sep 9, 2023 · 5:35 PM UTC",1,0
9,https://twitter.com/rlnarayanan/status/1700560107665600923#m,Upgrade #Reliance to buy for a target of ₹3400 with a stop a ₹2410 on closing basis  As discussed it’s same ever since 2013,"Sep 9, 2023 · 5:21 PM UTC",25,2
