,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/tanosiisupi_bot/status/1676701233430634496#m,Go along stream and with stream.  流れに沿い、流れ共に歩む。  RT @Rosina_ts #GoingDownstream #LifeTime #Wisdom #reliance #courage,"Jul 5, 2023 · 9:15 PM UTC",2,0
1,https://twitter.com/sudipkmaity/status/1676691689292054528#m,"He took Reliance public in 1977 and was worth $6 billion upon his death on 6 July 2002. In 2016, he was honored posthumously with the Padma Vibhushan, India's second highest civilian honor for his contributions to trade and industry #dhirubhaiambani #reliance #reliancefoundation","Jul 5, 2023 · 8:37 PM UTC",0,0
2,https://twitter.com/stockerz23/status/1676679347707723777#m,Shifted towards @zerodhaonline for my F&O Trades. Trades today with #tatapower #reliance #TataMotors . Pure Analytical Trading Thanks & Love to all.,"Jul 5, 2023 · 7:48 PM UTC",1,0
3,https://twitter.com/aga_ashu/status/1676674733801353216#m,#reliance #JioBharat 4G phone reminds me of #TATA #nano - i.e. both products underestimated people's #aspiration - it is going to be a flop #Indianstockmarket,"Jul 5, 2023 · 7:29 PM UTC",0,1
4,https://twitter.com/EdeshSeba/status/1676673295263977473#m,#Europe and #Japan #working together to “de-risk” #tech #reliance on #China https://www.edeshseba.info/europe-and-japan-working-together-to-de-risk-tech-reliance-on-china/?utm_source=twitter&utm_medium=social&utm_campaign=edeshseba.info #derisk,"Jul 5, 2023 · 7:23 PM UTC",0,0
5,https://twitter.com/yogeshmantri9/status/1676668380038979585#m,#StockNews #latestupdate  5 Big Stock News covered in this Video. https://youtu.be/5c_mWxrEbaU  ⏳Follow me to get all #LatestNews & #updates ⏳  #AdaniEnterprise #Adani #nifty50 #Reliance #LTIMindtree #pharmaceuticals #nseindia #BSE #stockmarkets,"Jul 5, 2023 · 7:04 PM UTC",1,1
6,https://twitter.com/stoxtrainer/status/1676646777645326336#m,Top 4 Penny Stocks that are trading near its last 5 year High zone (Hashtags: #Banks #India #Reliance #Wipro #Stocks #Markets #Bullrun #FinNifty #StocksToTrade #Nifty #Stockstobuy #BajajFinance #Gold #GiftNifty #Bhel #BajajAuto )  https://youtube.com/shorts/2wovl_gdKLQ?feature=share,"Jul 5, 2023 · 5:38 PM UTC",3,1
7,https://twitter.com/Amanwithawill/status/1676642868683743237#m,#Reliance,"Jul 5, 2023 · 5:23 PM UTC",0,0
8,https://twitter.com/officialrajiv9/status/1676642092704227329#m,"Can you please tell me, which #jio device is this ?  @reliancejio @JioCare #jio #JioPhone #JioTV #Reliance #found","Jul 5, 2023 · 5:20 PM UTC",0,1
9,https://twitter.com/BizTakOfficial/status/1676641259337777155#m,देश के सबसे अमीर शख्स मुकेश अंबानी की कंपनी रिलायंस को लेकर BofA Securities की एक रिपोर्ट सामने आई है। रिपोर्ट में दावा किया गया है कि रिलायंस के Q1 प्राॅफिट में करीब 10 प्रतिशत की गिरावट देखने को मिल सकती है। #BizAdda शो में आज इसी मुद्दे पर चर्चा होगी। #Reliance #BofASecurities | @1ALOKJOSHI,"Jul 5, 2023 · 5:16 PM UTC",3,0
10,https://twitter.com/manoj_dhanuka/status/1676640477574213633#m,#Reliance #CMC #Amul #fssai  I bought one amul dark chocolate from reliance smart sector 6 CDA. Upon opening the wrapper I found this as the condition of the chocolate. Concerned authorities should take note of the condition.,"Jul 5, 2023 · 5:13 PM UTC",0,1
11,https://twitter.com/stoxtrainer/status/1676637420425732096#m,#CDSL have given returns more than 10.53% from our entry level 1086🔔 (Trade given on May 31) #Banks #India #Reliance #Wipro #Stocks #Markets #Bullrun #FinNifty #StocksToTrade #Nifty #Stockstobuy #BajajFinance #Gold #GiftNifty #Bhel #BajajAuto,"Jul 5, 2023 · 5:01 PM UTC",3,1
12,https://twitter.com/stoxtrainer/status/1676632065419386880#m,#CENTURYTEX has given returns more than 15.30% from our entry level 808🔔 (Trade given on May 15) #Banks #India #Reliance #Wipro #Stocks #Markets #Bullrun #FinNifty #StocksToTrade #Nifty #Stockstobuy #BajajFinance #Gold #GiftNifty #Bhel #BajajAuto,"Jul 5, 2023 · 4:40 PM UTC",1,1
13,https://twitter.com/wondersofcharts/status/1676630877026283522#m,People have this misconception that they are losing only because of bad risk management..  While the true culprit is their strategy..  A bad strategy doesn't give them confidence to follow the right psychology..  #Nifty #NiftyBank #trading #StockTrading #Stockmarket #Reliance,"Jul 5, 2023 · 4:35 PM UTC",0,0
14,https://twitter.com/itradebrains/status/1676622274777190401#m,FII Cash & Derivative Statistics Dated 05/07/2023  #nifty #nifty50 #niftyoptions #Niftyfutures #niftyfinance #NIFTYIT #banknifty #NiftyBank #nifty500 #OptionsTrading #optiontrading #optionkipathshala #OptionChain #optionbuying #zerodha #hdfcbank #Reliance #ICICIBank #ICICI #sbin,"Jul 5, 2023 · 4:01 PM UTC",0,0
15,https://twitter.com/MashableIndia/status/1676614546176262147#m,Four times bigger than the Buckingham Palace #MukeshAmbani #Reliance #Antilia #laxmivilaspalace #Baroda #RanjiTrophy #HRHSamarjitsinhGaekwad #royalfamily https://in.mashable.com/tech/55767/not-the-ambanis-antilia-this-man-owns-the-worlds-largest-private-residence-know-his-net-worth-and-mo,"Jul 5, 2023 · 3:30 PM UTC",0,1
16,https://twitter.com/SimilarStocks/status/1676611976405893127#m,":: 5th July, Monday :: #fiis #fiidata #giftnifty #sgxnifty #fiis #fiidata #banknifty #nifty #sensex #reliance #niftybank #nseix #expiry #zerodha #finnifty #sebi #reliancejio #optionbuying #optiontrading #Rakeshjhunjhunwala #FOMC","Jul 5, 2023 · 3:20 PM UTC",2,2
17,https://twitter.com/bsindia/status/1676609378001010688#m,"#BSMorningShow | Mukesh Ambani’s 2016 foray into telecom had upended dynamics of the sector. Now, Jio has launched #JioBharat, an entry-level #4G phone priced at Rs 999.   Will this phone disrupt the market again?  #RelianceJio #Jio #Telecom #Reliance https://www.youtube.com/watch?v=E7f2Xy9Zi6g","Jul 5, 2023 · 3:10 PM UTC",3,0
18,https://twitter.com/Davidmarkzone/status/1676606004866285568#m,Mukesh Ambani earned Rs 19000 crore in a day #mukeshambani #earnings #reliance #2billion,"Jul 5, 2023 · 2:56 PM UTC",0,0
19,https://twitter.com/TheNewsChakra/status/1676603640558043147#m,"फिर से टॉप-10 अमीरों की लिस्ट में आ सकते हैं मुकेश अंबानी, बीते 24 घंटे में नेटवर्थ में 19,000 करोड़ का इजाफा हुआ ।  पूरी खबर पढ़ने के लिए नीचे लिंक पर क्लिक करे :-  https://thenewschakra.com/business/5898/ #TheNewsChakra #MukeshAmbani #reliance #richest #news","Jul 5, 2023 · 2:47 PM UTC",0,0
20,https://twitter.com/itspramods/status/1676600466648514564#m,This was the chart from my friend  Beautiful chart  #Reliance @chirag310190  Thanks for the clean chart,"Jul 5, 2023 · 2:34 PM UTC",19,1
