,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/followrachit/status/1678878284581584897#m,Reliance Jio Financial Services Demerger Date - Jio Financial Services Listing Soon #nifty50 #Reliance #Jio #StockMarketindia #sharemarketindia #learning #investing #trading https://inv.tux.pizza/shorts/vgcXIvbdves,"Jul 11, 2023 · 9:25 PM UTC",0,0
1,https://twitter.com/anupnv/status/1678866977102925826#m,+253 points up in almost a month. #reliance on the move . Where will it consolidate now ? #nifty #NiftyBank #niftyOptions,"Jul 11, 2023 · 8:40 PM UTC",0,0
2,https://twitter.com/indiablooms/status/1678848095109672960#m,"Gautam Adani considering bidding for Anil Ambani's coal-fired power plants under auction: Report | Indiablooms - First Portal on Digital News Management https://www.indiablooms.com/finance-details/18749/gautam-adani-considering-bidding-for-anil-ambani-s-coal-fired-power-plants-under-auction-report.html #AnilAmbani, #CoalFiredPlant, #Reliance, #NCLT, #GautamAdani","Jul 11, 2023 · 7:25 PM UTC",0,0
3,https://twitter.com/MagicNifty/status/1678845673909919755#m,#RELIANCE #crowdedbus   Alert ! 🚨 🚨🚨🚨🚨 looking  for cut!!🛑👍,"Jul 11, 2023 · 7:16 PM UTC",1,1
4,https://twitter.com/Rahulsi49312446/status/1678841946255794181#m,Koi cmp batayega     #reliance,"Jul 11, 2023 · 7:01 PM UTC",3,2
5,https://twitter.com/FNO_priceaction/status/1678835982580211712#m,#Reliance #nseAB  weekly resistance breakout zone,"Jul 11, 2023 · 6:37 PM UTC",1,0
6,https://twitter.com/GauravSirola/status/1678831616490106881#m,#CRM #Reliance #Amazon #Myntra #TheOffice #KevinHart #MichealScott #EcommerceTips #Flipkart #RelianceScam #TonyStark #HammerIndustry #Marvel #Dwight,"Jul 11, 2023 · 6:20 PM UTC",0,0
7,https://twitter.com/stoxtrainer/status/1678830005072064525#m,Top 4 Stock Market books that helps to learn Swing Trading basics (Hashtags: #Banks #India #Reliance #Wipro #Stocks #Markets #Bullrun #FinNifty #StocksToTrade #Nifty #Stockstobuy #BajajFinance #Gold #GiftNifty)  https://inv.tux.pizza/shorts/0_Eb-nYDS44?feature=share,"Jul 11, 2023 · 6:13 PM UTC",4,1
8,https://twitter.com/Neelu64110173/status/1678827887057850369#m,"Jaipur,Jio services very poor, #jiocare  collects money for new connection and forgets responsibility towards customer. Claims for 5G, fastest network ?  feeling like cheated, old is gold🥇#Airtel @JioCare @reliancejio @airtelindia @_MukeshAmbani #4GPhone #Reliance #Jio","Jul 11, 2023 · 6:05 PM UTC",1,2
9,https://twitter.com/YogindraRawat/status/1678824844094484482#m,Mukesh Ambani's Success Mantra: 8 Tips to Achieve Your Dreams | Lessons ... https://inv.tux.pizza/T58bb-ZHFO4 via @YouTube #reliance #ril #mukeshambani #हठयोग_करना_व्यर्थ_है #StopKeralaKillings #BigTVAIAnchorMaya #KheloGamer777 #BrijBhushanSharanSingh #BharateeyanManiaBegins,"Jul 11, 2023 · 5:53 PM UTC",0,0
10,https://twitter.com/stoxtrainer/status/1678822703451770881#m,#TIMETECHNO has broken its multi year high; entry above 135 with expected profits around 24%; keep strict sl 95 & holding will be time consuming #Banks #India #Reliance #Wipro #Stocks #Markets #Bullrun #FinNifty #StocksToTrade #Nifty #Stockstobuy #tatagroup #Gold #INTRADAY,"Jul 11, 2023 · 5:44 PM UTC",4,2
11,https://twitter.com/stoxtrainer/status/1678821778897117185#m,#LSIL has broken its All time high with heavy volume; entry above 32 with expected profits around 27%; keep strict sl 23 as the stock’s fundamentals are weak(risky) #Banks #India #Reliance #Wipro #Stocks #Markets #Bullrun #FinNifty #StocksToTrade #Nifty #Stockstobuy #TataGroup,"Jul 11, 2023 · 5:41 PM UTC",8,0
12,https://twitter.com/FolioStocks/status/1678820063611355151#m,Mota bhai.. what is your stratergy?   Are we going towards all time high? :)  #Reliance 2764 #Analysis,"Jul 11, 2023 · 5:34 PM UTC",1,0
13,https://twitter.com/_M0neyMatters/status/1678819545979449376#m,"#BANKNIFTY, #Nifty50 and #NiftyNext50 adjustment for tomorrow   Weight Up : #HDFCBANK, #INDUSINDBK, #BANKBARODA, #AUBANK, #FEDERALBNK, #IDFCFIRSTB, #PNB, #BANDHANBNK, #LTIM, #JINDALSTEL, #JSWSTEEL  Weight Down: #ICICIBANK, #SBIN, #KOTAKBANK, #AXISBANK, #RELIANCE, #INFY, #TCS, #ITC  Source: @Nuvama_Wealth @ICICI_Direct","Jul 11, 2023 · 5:32 PM UTC",1,0
14,https://twitter.com/riteshvnspraja1/status/1678819428564357121#m,#JIO walo ki MKC. Baat 5G ki yaha 2G bhi nhi chal raha hai. Bsdk #Reliance #JIO #MukeshAmbani #reliancejio,"Jul 11, 2023 · 5:31 PM UTC",0,0
15,https://twitter.com/Vinodrt/status/1678819047461486593#m,"Now RIL already taken off - check my #Reliance post, ND has failed which cud result in Gap up or rapid move higher https://nitter.tux.pizza/Vinodrt/status/1678695720684224512?s=20  When both the heavyweights support then expect fresh ATH on Nifty","Jul 11, 2023 · 5:30 PM UTC",0,1
16,https://twitter.com/prashant221278/status/1678817042428989441#m,#Nifty: #HDFCBANK - 14.43% #RELIANCE - 10.80%  #Banknifty weightage: #HDFCBANK - 29.1% #ICICIBANK - 24.4%.  From July 13,"Jul 11, 2023 · 5:22 PM UTC",1,0
17,https://twitter.com/stoxtrainer/status/1678814445798293506#m,#RECLTD have given profits around 29.70% from our entry level 132🔔 (Trade given on April 28) #Banks #India #Reliance #Wipro #Stocks #Markets #Bullrun #FinNifty #Tata #Nifty #Stockstobuy #Airdrop #Gold #GiftNifty #Bhel #Intraday,"Jul 11, 2023 · 5:12 PM UTC",4,1
18,https://twitter.com/swing_trader02/status/1678814133486235654#m,"📈🚀 Reliance share is currently trading at a crucial resistance level. If it manages to sustain this level, get ready for a potentially explosive move! 🎯🔥 Target set at 3000+! 🎯 Let the bulls run wild! 🐂💼 #Reliance #TradingOpportunity #BigMoveComing https://inv.tux.pizza/SScwB4llsAo","Jul 11, 2023 · 5:10 PM UTC",0,0
19,https://twitter.com/stoxtrainer/status/1678811363861471232#m,#JSL has broken our triangle pattern & made around 22.50% from our entry level 304🔔 (Trade given on June 6) #Banks #India #Reliance #Wipro #Stocks #Markets #Bullrun #FinNifty #StocksToTrade #Nifty #Stockstobuy #BajajFinance #Gold #GiftNifty #Bhel #TataGroup,"Jul 11, 2023 · 4:59 PM UTC",6,2
20,https://twitter.com/BhupendraChiral/status/1678810252899393536#m,Nifty 50 and  Banknifty index Adjustments Tomorrow...  #Nifty: #HDFCBANK - 14.43% #RELIANCE - 10.80%  #Banknifty weightage: #HDFCBANK - 29.1% #ICICIBANK - 24.4%.,"Jul 11, 2023 · 4:55 PM UTC",5,1
21,https://twitter.com/Dhruv241994/status/1678809338394324992#m,#Nifty: #HDFCBANK - 14.43% #RELIANCE - 10.80%  #Banknifty weightage: #HDFCBANK - 29.1% #ICICIBANK - 24.4%.  From July 13,"Jul 11, 2023 · 4:51 PM UTC",1,0
22,https://twitter.com/stoxtrainer/status/1678808592118583296#m,#KIRLOSENG was in a rally & now it is in buildup area; a breakout above 450 is expected to give 20%; keep strict sl 360 #Banks #India #Reliance #Wipro #Stocks #Markets #Bullrun #FinNifty #StocksToTrade #Nifty #Stockstobuy #Intraday #Gold #Crudeoil #TataGroup #Gst,"Jul 11, 2023 · 4:48 PM UTC",4,2
23,https://twitter.com/khetwanirohit/status/1678807218739896321#m,"#reliance industries  As mentioned earlier, 2350 was important level which was not broken a single time. Almost 15% up from tracking price.  #stockmarkets #trading #nifty50 #StockToWatch @kuttrapali26","Jul 11, 2023 · 4:43 PM UTC",2,0
24,https://twitter.com/Money9Gujarati/status/1678806042090815488#m,#RIL #Ambani #Reliance #Jio #demerger #stocks #shares #Gujarat #Ahmedabad #Rajkot,"Jul 11, 2023 · 4:38 PM UTC",1,0
25,https://twitter.com/ashoksharma81/status/1678802422616182784#m,Wednesday Wonder Stocks  #PVR INOX #CINELINE #GST reduced on FB from 18% to 5%  #delta #MissionImpossible7  #GSTCouncil #reliance #Reliance #vedl #zee #Bitcoin   #GIFTNIFTY #DowJones #intradaytrading #StockMarketindia #jio #Heavyrainfall #Jawaan #NATO #tuesdaymorning,"Jul 11, 2023 · 4:24 PM UTC",3,2
26,https://twitter.com/prashant221278/status/1678801296063860736#m,#Nifty: #HDFCBANK - 14.43% #RELIANCE - 10.80%  #Banknifty weightage: #HDFCBANK - 29.1% #ICICIBANK - 24.4%.  From July 13,"Jul 11, 2023 · 4:19 PM UTC",0,0
27,https://twitter.com/DeccanHerald/status/1678800112951099397#m,"#Ambani’s #Reliance Power Ltd. is also considering making an offer for the asset in an attempt to win back control of the firm, one of the people said. #GautamAdani https://www.deccanherald.com/business/business-news/adani-weighs-bid-for-anil-ambani-s-bankrupt-coal-plants-1236014.html","Jul 11, 2023 · 4:15 PM UTC",0,0
28,https://twitter.com/jay_b2427/status/1678797915354181633#m,Market View 12 July #nifty #banknifty #reliance #hdfcbank #ICICIBank https://inv.tux.pizza/SNMXtZI9gyM,"Jul 11, 2023 · 4:06 PM UTC",0,0
29,https://twitter.com/Money9Gujarati/status/1678796802844409856#m,#Tax #Return #ITR #Income #GST #Adani #SEBI #SupremeCourt #Ambani #Reliance #RIL #Jio #Demerger #vegetables #Inflation #Prices #EdibleOil #Tomato #Defence #Stocks #Shares #RecordDate #Gujarat #Money9Gujarati #PersonalFinance #MoneyTime,"Jul 11, 2023 · 4:02 PM UTC",1,1
30,https://twitter.com/12Calls_/status/1678796350425804800#m,Reliance is facing good resistance you can sell some for the target 2200 in the coming months and we gave buying suggestion in February month It already achieved the targets. #Reliance #trading #TradingView #TRADINGTIPS #tradingpsychology #Traders #TradersTip #stockmarkets,"Jul 11, 2023 · 4:00 PM UTC",1,1
31,https://twitter.com/karthik634/status/1678795987429789699#m,Shorted reliance 2lot today. Tomorrow expecting down fall.  #Reliance,"Jul 11, 2023 · 3:58 PM UTC",0,1
32,https://twitter.com/SimilarStocks/status/1678793104248193026#m,:: 11th July Tuesday :: #fiis #fiidata  Follow Us:- @SimilarStocks #giftnifty #sgxnifty #banknifty #nifty #sensex #reliance #niftybank #nseix #expiry #zerodha #finnifty #sebi #reliancejio #TataMotors #optionbuying #optiontrading #DowJones #Vedanta #TataGroup #iPhone,"Jul 11, 2023 · 3:47 PM UTC",2,1
33,https://twitter.com/kepy47/status/1678792321796804608#m,#Nifty: #HDFCBANK - 14.43% #RELIANCE - 10.80%  #Banknifty weightage: #HDFCBANK - 29.1% #ICICIBANK - 24.4%.  From July 13,"Jul 11, 2023 · 3:44 PM UTC",0,0
34,https://twitter.com/ss_ssingh/status/1678791021885558784#m,#Reliance & #Tatagroup are the most capable & value generating partners for #Foxconn in India,"Jul 11, 2023 · 3:39 PM UTC",0,0
