,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/singhsajal0103/status/1741555665838157838#m,Total 10 names shared..  January stocks  #AUBank #Ujjainsmall finance Bank #Motherson #Granules #Reliance,"Dec 31, 2023 · 8:23 PM UTC",5,0
1,https://twitter.com/smile_plz12/status/1741554611033706653#m,Make good use of bad rubbish. –Elizabeth Beresford #quotes #self #reliance,"Dec 31, 2023 · 8:19 PM UTC",0,0
2,https://twitter.com/investoufintech/status/1741523473124712535#m,"Here's to a year of growth, resilience, and unforgettable moments. May 2024 be a journey of self-discovery and achievement. Happy New Year!  #Happynewyear #NIFTY #NSE #BSE #Indianstockmarket #sensex #reliance #mohanlal #srk #fintech #shahrukhkhan #tovinothomas #ratantata #tata","Dec 31, 2023 · 6:15 PM UTC",2,0
3,https://twitter.com/INCMumbai/status/1741518522881356248#m,"अनिल अंबानी यांच्या रिलायन्स कम्युनिकेशन या कंपनीचे सरकारी बँकांनी ४७,२५१ हजार कोटींचे कर्ज माफ केले आणि तीच कंपनी मुकेश अंबानी यांनी ४५५.९ कोटींना विकत घेतली.  हा देशाचा पैसा खाणारे व त्याला तो माफ करणारे देशद्रोही नाही का ???  #Reliance #ModiGovernment #GovernmentBank #NarendraModi #Mumbai #NCLT","Dec 31, 2023 · 5:55 PM UTC",137,11
4,https://twitter.com/KaushalKacha/status/1741516617258037728#m,"Journey of my Rangoli's 2022 to 2023... https://invidious.projectsegfau.lt/@kaushalkacha6783?si=AsNmrs9TmC7t5lw6 Support my YouTube CHANNEL and SUBSCRIBE for more Video, Like, share and Click BELL Botton #art #portraits #rangoli #bharat #world #nmacc #Reliance #ilovejamnagar #Reliancegroup #wedding #artist #artwork","Dec 31, 2023 · 5:48 PM UTC",4,0
5,https://twitter.com/SmujSingh/status/1741515703759344071#m,Will be interesting to see how many Punjabis still go to @StokePark now that Ambani has purchased it for around £57 million. It will reopen in a couple of years after the refurb and he’ll have put a wedding venue in there 🤦🏽 #ambani #reliance #FarmersProtest,"Dec 31, 2023 · 5:44 PM UTC",1,1
6,https://twitter.com/uk_mittal/status/1741515183032521108#m,"#RELIANCE INDUSTRIES LIMITED bahut saal ho gaye MUKESH BHAIYA ko world pe raaj kie hue ye saal unka hi hoga, mere khyal se 🙏","Dec 31, 2023 · 5:42 PM UTC",0,0
7,https://twitter.com/NiharDhakan/status/1741496625917493604#m,Standing near to #Jio tower (heardly 50 mtrs from my residence) and #speed is always worst in #Surat which is #Gujarat 's largest 2nd city. #Jio_Ghatiya_Services #JioCinema #Reliance   Itni ghatiya #speed hone ke baad bhi #Jio wale apni galati kabhi nahi maanenge!,"Dec 31, 2023 · 4:28 PM UTC",0,2
8,https://twitter.com/nirajtanna/status/1741496442869710956#m,#fundamental & #technical pick for 2024 (strong monthly chart): 1. #IRCTC 2. #RELIANCE 3. #TCS 4. #TATASTEEL #trading #investing #stockmarkets #HappyNewYear2024 #HAPPYVDAY #Welcome2024 #WeekendVibes #TradingView @caniravkaria @Stock_Precision @Jagadeesh0203 @chartmojo @VijayThk,"Dec 31, 2023 · 4:28 PM UTC",141,6
9,https://twitter.com/yeskannur/status/1741496173201162406#m,Check out my #RELIANCE analysis on @TradingView: https://www.tradingview.com/chart/RELIANCE/42lGLe24-RIL-S-R-for-1-1-24/,"Dec 31, 2023 · 4:26 PM UTC",0,0
10,https://twitter.com/YuvrajS34847122/status/1741479408647754038#m,₹MOTA BHAI #RANGE #BREAKOUT #Cmp:- 2587 /- #Bull market #Reliance #HIGHLIGHT #Hot #StockToWatch #Byebye 🐻,"Dec 31, 2023 · 3:20 PM UTC",1,0
