Date,Close,Volume
2023-07-03,390.7666320800781,4518462
2023-07-04,395.1073913574219,6308617
2023-07-05,393.0617370605469,6183479
2023-07-06,395.3568420410156,4518621
2023-07-07,395.0075988769531,4532610
2023-07-10,389.1201477050781,2815200
2023-07-11,391.2156677246094,4817419
2023-07-12,391.01611328125,3424110
2023-07-13,393.46087646484375,6797863
2023-07-14,404.18798828125,15683392
2023-07-17,414.3663024902344,22879930
2023-07-18,416.3121643066406,8884513
2023-07-19,417.0605773925781,5415495
2023-07-20,416.76116943359375,4127855
2023-07-21,403.8387451171875,11757106
2023-07-24,403.19012451171875,3404230
2023-07-25,399.5478820800781,3229100
2023-07-26,401.89288330078125,2664831
2023-07-27,399.098876953125,4474179
2023-07-28,397.9013977050781,3380030
2023-07-31,404.18798828125,3381090
2023-08-01,406.083984375,3590902
2023-08-02,401.9427795410156,2699809
2023-08-03,398.79949951171875,3410849
2023-08-04,407.97991943359375,6240770
2023-08-07,410.2750244140625,4411433
2023-08-08,415.4639587402344,7862142
2023-08-09,416.9108581542969,4654694
2023-08-10,417.7590637207031,4950822
2023-08-11,412.17095947265625,3785734
2023-08-14,414.2665100097656,2896090
2023-08-16,417.7590637207031,4065890
2023-08-17,416.661376953125,3170480
2023-08-18,410.8238525390625,5301196
2023-08-21,413.7176818847656,3667130
2023-08-22,416.2123718261719,3175120
2023-08-23,414.3663024902344,3067117
2023-08-24,411.8217468261719,2888478
2023-08-25,408.828125,3299255
2023-08-28,407.1816101074219,1700987
2023-08-29,407.23150634765625,1999281
2023-08-30,406.33343505859375,2009091
2023-08-31,407.5308532714844,11030976
2023-09-01,415.4639587402344,4238065
2023-09-04,433.1761779785156,13817324
2023-09-05,430.93096923828125,8986713
2023-09-06,428.3863830566406,6765956
2023-09-07,431.9288330078125,4661325
2023-09-08,429.08489990234375,2874205
2023-09-11,433.9245910644531,4126657
2023-09-12,434.07427978515625,7272664
2023-09-13,434.7727966308594,3722835
2023-09-14,435.52117919921875,7447505
2023-09-15,440.11138916015625,9917938
2023-09-18,435.17193603515625,3012598
2023-09-20,429.1846923828125,4551350
2023-09-21,428.0371398925781,4446535
2023-09-22,417.609375,9909130
2023-09-25,413.21875,4650566
2023-09-26,412.02130126953125,3240283
2023-09-27,414.76544189453125,3886997
2023-09-28,404.48736572265625,8438058
2023-09-29,405.18585205078125,6390136
2023-10-03,404.587158203125,2864052
2023-10-04,404.038330078125,3452935
2023-10-05,405.93426513671875,4062652
2023-10-06,406.9820556640625,3182502
2023-10-09,404.7368469238281,3015225
2023-10-10,406.88226318359375,2564007
2023-10-11,420.25372314453125,9546114
2023-10-12,416.2123718261719,5117199
2023-10-13,410.17523193359375,5457027
2023-10-16,409.3270568847656,2638826
2023-10-17,410.52447509765625,2989694
2023-10-18,406.5829162597656,2440533
2023-10-19,394.458740234375,12814551
2023-10-20,391.01611328125,4214668
2023-10-23,382.3345947265625,4418913
2023-10-25,381.0373840332031,3339147
2023-10-26,377.4450378417969,5497791
2023-10-27,381.53631591796875,3101406
2023-10-30,381.1870422363281,2344372
2023-10-31,380.9874572753906,3076768
2023-11-01,380.1393127441406,2120976
2023-11-02,382.8335266113281,2371365
2023-11-03,382.7337341308594,2645764
2023-11-06,383.8314208984375,2469968
2023-11-07,382.4842834472656,2846089
2023-11-08,381.38665771484375,3551026
2023-11-09,380.0395202636719,4615563
2023-11-10,378.4927978515625,5355350
2023-11-13,380.8377990722656,1792951
2023-11-15,390.8165283203125,5396259
2023-11-16,396.2549133300781,6921788
2023-11-17,394.55853271484375,3943464
2023-11-20,399.34832763671875,4305248
2023-11-21,399.79736328125,2720124
2023-11-22,399.3982238769531,2659291
2023-11-23,401.6434326171875,4838680
2023-11-24,395.1572570800781,3125283
2023-11-28,396.0054626464844,4072657
2023-11-29,405.38543701171875,7772043
2023-11-30,412.17095947265625,9912979
2023-12-01,406.782470703125,4915213
2023-12-04,406.5829162597656,5331236
2023-12-05,403.489501953125,5582684
2023-12-06,417.8588562011719,11041035
2023-12-07,417.35992431640625,5625276
2023-12-08,421.7006530761719,7739561
2023-12-11,419.7049255371094,5042121
2023-12-12,421.301513671875,5951682
2023-12-13,418.7569274902344,4848408
2023-12-14,433.47552490234375,12340688
2023-12-15,445.59967041015625,20783617
2023-12-18,444.3024597167969,10091036
2023-12-19,437.76641845703125,8032347
2023-12-20,431.03076171875,13224971
2023-12-21,433.0763854980469,5331504
2023-12-22,461.6654052734375,23040407
2023-12-26,469.0995788574219,27314322
2023-12-27,469.9477844238281,12631496
2023-12-28,468.4509582519531,8419978
2023-12-29,470.2969970703125,7980570
2024-01-01,476.1345520019531,10173639
2024-01-02,468.2015075683594,7141257
2024-01-03,454.9297790527344,9767182
2024-01-04,451.4372253417969,7585168
2024-01-05,455.6282958984375,8444565
2024-01-08,449.3916015625,5041443
2024-01-09,449.7907409667969,7232524
2024-01-10,452.6346740722656,4437338
2024-01-11,447.2461853027344,4319409
2024-01-12,464.45947265625,18043367
2024-01-15,493.54742431640625,63922132
2024-01-16,483.9678649902344,12956246
2024-01-17,481.3733825683594,14334466
2024-01-18,481.62286376953125,13072462
2024-01-19,484.0177307128906,7749310
2024-01-23,468.8999938964844,9986168
2024-01-24,478.04998779296875,5854375
2024-01-25,470.0,6426490
2024-01-29,473.0,5025650
2024-01-30,472.5,5914007
2024-01-31,478.1499938964844,5292240
2024-02-01,471.3500061035156,3914060
2024-02-02,483.1499938964844,8148111
2024-02-05,482.3500061035156,5783302
2024-02-06,499.6499938964844,14512019
2024-02-07,495.20001220703125,4551767
2024-02-08,488.8500061035156,5651920
2024-02-09,490.45001220703125,3946894
2024-02-12,501.45001220703125,24436750
2024-02-13,511.6000061035156,11186788
2024-02-14,514.5,11297328
