Date,Sentiment_score,No_of_likes,No_of_comments,Count_of_tweets,Close,Volume
2023-10-12,0.11466806722689077,74,11,51,416.2123718261719,5117199
2023-10-13,0.028935846560846565,1142,101,30,410.17523193359375,5457027
2023-10-16,0.10023122987117553,14,4,23,409.3270568847656,2638826
2023-10-17,0.09090976731601733,101,14,40,410.52447509765625,2989694
2023-10-18,0.049561718374218376,1893,200,304,406.5829162597656,2440533
2023-10-19,0.05981961125158027,2380,140,226,394.458740234375,12814551
2023-10-20,0.12182050569947395,1099,26,63,391.01611328125,4214668
2023-10-23,0.026542015903718033,137,17,47,382.3345947265625,4418913
2023-10-25,0.004970760233918128,81,17,38,381.0373840332031,3339147
2023-10-26,0.1098333297965651,200,6,34,377.4450378417969,5497791
2023-10-27,0.010119047619047618,236,28,36,381.53631591796875,3101406
2023-10-30,0.11191358024691357,47,5,27,381.1870422363281,2344372
2023-10-31,0.06529670047031158,1637,113,18,380.9874572753906,3076768
2023-11-01,0.0647089947089947,26,17,18,380.1393127441406,2120976
2023-11-02,0.2107121212121212,61,11,25,382.8335266113281,2371365
2023-11-03,0.08778596623834718,176,16,21,382.7337341308594,2645764
2023-11-06,0.08092093717093717,183,17,37,383.8314208984375,2469968
2023-11-07,0.017691061558986088,226,18,53,382.4842834472656,2846089
2023-11-08,0.023058254402239364,32,7,19,381.38665771484375,3551026
2023-11-09,0.17889092851592853,36,1,25,380.0395202636719,4615563
2023-11-10,0.08437905092592593,1008,41,16,378.4927978515625,5355350
2023-11-13,0.12518518518518518,25,2,15,380.8377990722656,1792951
2023-11-15,0.04376611078315624,972,43,44,390.8165283203125,5396259
2023-11-16,0.11642394179894179,57,10,36,396.2549133300781,6921788
2023-11-17,0.13653149801587303,45,4,32,394.55853271484375,3943464
2023-11-20,0.0659090909090909,50,6,27,399.34832763671875,4305248
2023-11-21,0.03240754483611627,354,24,35,399.79736328125,2720124
2023-11-22,0.011698146882357409,312,20,57,399.3982238769531,2659291
2023-11-23,0.1255282988616322,36,8,27,401.6434326171875,4838680
2023-11-24,0.06944444444444443,7,7,14,395.1572570800781,3125283
2023-11-28,0.08652266714766715,44,9,36,396.0054626464844,4072657
2023-11-29,0.12059305997985244,132,12,53,405.38543701171875,7772043
2023-11-30,0.022533735033735038,133,19,37,412.17095947265625,9912979
2023-12-01,0.10776892299619573,48,8,33,406.782470703125,4915213
2023-12-04,0.08734037909963836,29,8,27,406.5829162597656,5331236
2023-12-05,0.0033333333333333327,60,2,10,403.489501953125,5582684
2023-12-06,0.1130233843537415,298,28,84,417.8588562011719,11041035
2023-12-07,0.029066754501537114,73,4,23,417.35992431640625,5625276
2023-12-08,0.09654392199604966,323,25,47,421.7006530761719,7739561
2023-12-11,0.09488855184167683,477,27,52,419.7049255371094,5042121
2023-12-12,0.09311839942870645,133,17,57,421.301513671875,5951682
2023-12-13,0.08888218631116358,44,9,44,418.7569274902344,4848408
2023-12-14,0.12902909504878685,1276,63,73,433.47552490234375,12340688
2023-12-15,0.11516767022465552,1721,171,204,445.59967041015625,20783617
2023-12-18,0.08309895232082733,924,154,160,444.3024597167969,10091036
2023-12-19,0.09226119867367603,298,37,46,437.76641845703125,8032347
2023-12-20,0.07042190065681445,1374,79,58,431.03076171875,13224971
2023-12-21,0.043125,63,7,20,433.0763854980469,5331504
2023-12-22,0.1570380957078223,4067,381,320,461.6654052734375,23040407
2023-12-26,0.1123421717171717,72,14,24,469.0995788574219,27314322
2023-12-27,0.050139831405411464,863,43,149,469.9477844238281,12631496
2023-12-29,0.06026563273387229,150,8,38,470.2969970703125,7980570
2024-01-01,0.1396836395312005,285,22,41,476.1345520019531,10173639
2024-01-02,0.07626124548362921,66,10,43,468.2015075683594,7141257
2024-01-03,0.05337183134824645,102,10,53,454.9297790527344,9767182
2024-01-04,0.06228521038044848,71,8,45,451.4372253417969,7585168
2024-01-05,0.09541619902731015,400,34,54,455.6282958984375,8444565
2024-01-08,0.1041042291042291,54,6,26,449.3916015625,5041443
2024-01-09,0.1183986928104575,156,15,51,449.7907409667969,7232524
2024-01-10,0.0452345441017316,127,17,64,452.6346740722656,4437338
2024-01-11,0.07648654513888889,348,23,64,447.2461853027344,4319409
2024-01-12,0.07312110031514396,8894,669,823,464.45947265625,18043367
2024-01-15,0.08,32,1,2,493.54742431640625,63922132
2024-01-16,0.08041456686586801,1357,156,277,483.9678649902344,12956246
2024-01-17,0.06945075227740669,563,101,170,481.3733825683594,14334466
2024-01-19,0.07293668330126662,712,131,72,484.0177307128906,7749310
2024-01-23,0.06029119425547997,65,18,35,468.8999938964844,9986168
